"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","momentum","num_classes","num_epochs","weight_decay","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","loss","lr","train_loss","train_mIoU","val_loss","val_mIoU","val_mIoU_per_class"
"epoch_15","finished","-","","","2025-05-22T08:41:23.000Z","5918","","4","0.00625","0.9","19","15","0.0001","88.03515599369148","10.129015740467974","85.6988892225671","59.04115374937913","13.464885604226197","8.65548453820017","0.021029988763977422","0","69.36689262378614","13.824060890435868","49.654111427559435","1.4945557720712863","33.35814081052599","0.18075203305180032","48.02092980052157","0","1.735781296761349","0","0","0","71.16534529460067","14.780947193411768","63.157698206086934","58.44746359543519","36.13139573149004","0.5250724574358079","34.29087046469995","1.0579976795053527","31.50138478979993","13.964645500244494","14.589444924411696","2.973965546971037","0.17580600401106616","0","69.65683187345029","57.89481739028264","55.24146296231764","3.5468578786668945","15","1.440063026216295","0.004827395219595097","1.440063026216295","42.514780945515085","2.2750757846832275","17.608342140397102","[10.129015740467974,14.780947193411768,58.44746359543519,0.5250724574358079,1.0579976795053527,13.964645500244494,2.973965546971037,0,57.89481739028264,3.5468578786668945,59.04115374937913,8.65548453820017,0,13.824060890435868,1.4945557720712863,0.18075203305180032,0,0,0]"
"epoch_14","finished","-","","","2025-05-22T08:34:25.000Z","6244","","4","0.00625","0.9","19","15","0.0001","87.70206810816147","10.47474541131113","84.82714181338157","59.87728915995327","10.996942811040071","9.768521404203666","0.006012578313832535","0","67.06064366872621","12.330768694292574","51.05907067471093","0.9442558329119672","30.506954138067332","0.5376633644048765","62.27169530739606","0","0.6729194451564133","0","0","0","70.41224262389376","9.244417004705763","62.92152382425651","58.193680283058235","36.87152521179079","2.583767040584376","34.55266401681634","4.262428962985605","30.797908022390935","11.51670301700524","11.716739793584033","2.73058853495974","0.3261304521808723","0","68.86015648036225","58.68941182902147","53.533481101307125","4.017428179743588","14","1.4571154250038996","0.004923563030093953","1.4571154250038996","42.50532333730758","2.38383092880249","17.512262051367248","[10.47474541131113,9.244417004705763,58.193680283058235,2.583767040584376,4.262428962985605,11.51670301700524,2.73058853495974,0,58.68941182902147,4.017428179743588,59.87728915995327,9.768521404203666,0,12.330768694292574,0.9442558329119672,0.5376633644048765,0,0,0]"
"epoch_13","finished","-","","","2025-05-22T08:27:27.000Z","6570","","4","0.00625","0.9","19","15","0.0001","88.72755684091057","4.379131912500497","85.61578187446854","48.54084311441692","6.704852050503926","1.239712272051157","0","0","65.37074200317863","12.462582011225129","44.723273003918415","1.9170038077867129","35.27343115746934","3.429210885686615","66.5534919395063","0.6938836894529214","0.355636998406364","0","0","0","69.83256637131487","11.484840401884949","60.87552097354817","53.349880480771326","37.82365854606209","1.6748495771587462","31.621369348980227","3.0933214890202487","30.278357489061214","10.636760868648846","10.43205147992474","2.7347954093881945","0.00028496076802626195","0","68.87812924129206","55.64189108067312","55.01941206963687","3.148631267308192","13","1.4616741385215368","0.005019522569884105","1.4616741385215368","44.59330096170296","3.0956604976654054","14.295155884531573","[4.379131912500497,11.484840401884949,53.349880480771326,1.6748495771587462,3.0933214890202487,10.636760868648846,2.7347954093881945,0,55.64189108067312,3.148631267308192,48.54084311441692,1.239712272051157,0,12.462582011225129,1.9170038077867129,3.429210885686615,0.6938836894529214,0,0]"
"epoch_12","finished","-","","","2025-05-22T08:20:33.000Z","6892","","4","0.00625","0.9","19","15","0.0001","87.7935516517953","3.415817776088052","85.5505723042023","53.28174725580625","4.801458463492323","0.31769102432183377","0","0","67.38701643391246","10.01113967224524","42.082517706792494","2.7936594970024418","45.60973319010228","2.6514625809720846","56.115668532235475","1.6193644938319267","0.28494614300381077","0","0.006288517167651848","0","68.77872224712468","11.388224190042497","60.60215853498866","57.09982394735367","37.08653880451397","1.1800475992302375","30.202395072656714","2.8867886800725624","29.11946260686028","12.49311261867947","6.7505279758007255","2.430172375948204","0","0","68.18677573826076","61.1845344601615","54.0287586058336","5.831506012064113","12","1.4880185718210337","0.0051152786957086365","1.4880185718210337","43.78747603110256","2.820489364624023","15.239006145588007","[3.415817776088052,11.388224190042497,57.09982394735367,1.1800475992302375,2.8867886800725624,12.49311261867947,2.430172375948204,0,61.1845344601615,5.831506012064113,53.28174725580625,0.31769102432183377,0,10.01113967224524,2.7936594970024418,2.6514625809720846,1.6193644938319267,0,0]"
"epoch_11","finished","-","","","2025-05-22T08:13:34.000Z","7218","","4","0.00625","0.9","19","15","0.0001","88.06903798849963","4.885810249303122","84.6498881797522","40.49847798920413","1.997715475065094","0.07421964236629446","0","0","65.57554742544484","11.675777966406478","40.78348177177365","3.4891477088177374","34.022373979809025","0.004117820922373586","55.23088445905503","1.6153966135332178","0.4121398667066632","0","0","0","68.40334496723702","11.28685464334484","60.297495203242434","53.31669936078222","36.14251305921852","0.357053745341987","28.45973001679436","3.2895209641084806","28.53829301492587","11.012997089506868","5.225391574303635","2.952723045279756","0","0","68.05541094746964","59.200301143607646","51.93368952427032","4.952843188268378","11","1.5080728902776015","0.005210836052568272","1.5080728902776015","44.862308590848","2.237914155006409","13.90746274471957","[4.885810249303122,11.28685464334484,53.31669936078222,0.357053745341987,3.2895209641084806,11.012997089506868,2.952723045279756,0,59.200301143607646,4.952843188268378,40.49847798920413,0.07421964236629446,0,11.675777966406478,3.4891477088177374,0.004117820922373586,1.6153966135332178,0,0]"
"epoch_10","finished","-","","","2025-05-22T08:06:39.000Z","7541","","4","0.00625","0.9","19","15","0.0001","87.66736970005536","3.462511178463824","85.6940570870036","57.59611361835839","0.4399725056179424","0.005519254119921276","0","0","64.65482479437212","11.66300997273682","38.61331360862459","3.6188993765936863","43.42570849171113","0.9492328086574616","66.98131866978574","0","0.11962919300321471","0","0","0","66.9402110934888","12.779715500290536","60.09410777422506","60.57240786863267","32.51055373611554","2.554481364709198","26.17753264679841","4.73384143356892","27.7443025198595","11.416009184016328","2.720370871863241","0.8701186173563614","0","0","67.82005511305563","56.460508163972655","51.85306794678377","3.5026837037158343","10","1.5257130290707972","0.005306199087072482","1.5257130290707972","45.21602473452273","2.330837213516235","16.44178943179947","[3.462511178463824,12.779715500290536,60.57240786863267,2.554481364709198,4.73384143356892,11.416009184016328,0.8701186173563614,0,56.460508163972655,3.5026837037158343,57.59611361835839,0.005519254119921276,0,11.66300997273682,3.6188993765936863,0.9492328086574616,0,0,0]"
"epoch_9","finished","-","","","2025-05-22T07:59:41.000Z","7867","","4","0.00625","0.9","19","15","0.0001","87.70303501157834","4.65766252469582","85.41890616778686","60.04797391784131","0.16519731843948535","0.000605778929056893","0","0","63.23467084787938","13.324852571969853","41.64986376903806","0.8844962864847461","35.51215580757746","3.92862203329791","62.36220045724682","1.8452868758114565","0.0004327112388090054","0","0","0","66.20918278554119","15.170175001213448","59.11691314443262","55.40177021145753","33.0009855822893","6.479375063156928","25.162659183813428","4.664591247397819","26.51923075831583","10.100206787218138","0.8367107559387009","0.6478175998874506","0","0","67.00090813144797","64.76836768648982","49.89741402742237","3.764266863752439","9","1.542810315759773","0.005401372059699326","1.542810315759773","43.986904153749165","2.445462103843689","16.379071363306913","[4.65766252469582,15.170175001213448,55.40177021145753,6.479375063156928,4.664591247397819,10.100206787218138,0.6478175998874506,0,64.76836768648982,3.764266863752439,60.04797391784131,0.000605778929056893,0,13.324852571969853,0.8844962864847461,3.92862203329791,1.8452868758114565,0,0]"
"epoch_8","finished","-","","","2025-05-22T07:52:46.000Z","8189","","4","0.00625","0.9","19","15","0.0001","87.64116574932079","3.4529736197261567","84.02242730157987","62.5949471822144","0.004069566632892742","0.011476048712293102","0","0","64.16648774666065","16.776322428207862","40.45220589319177","5.594745722719117","33.982453161208866","2.8288023171076997","54.827062306603615","0","0.27695893007765277","0","0","0","66.23879999905417","10.020939167692584","58.468764207938115","65.76363709500451","30.338458016815345","4.1740664588042","22.308208725016275","8.71106553839248","25.356683183162477","10.986125621256718","0.09567379519738968","0.012578838421510252","0","0","67.20801798428164","56.16318331361138","49.95514494956833","2.111905149469977","8","1.5789026190073063","0.005496359056072805","1.5789026190073063","42.83391134476936","2.710996245384216","17.80019775009578","[3.4529736197261567,10.020939167692584,65.76363709500451,4.1740664588042,8.71106553839248,10.986125621256718,0.012578838421510252,0,56.16318331361138,2.111905149469977,62.5949471822144,0.011476048712293102,0,16.776322428207862,5.594745722719117,2.8288023171076997,0,0,0]"
"epoch_7","finished","-","","","2025-05-22T07:45:51.000Z","8512","","4","0.00625","0.9","19","15","0.0001","87.12998436875073","5.265658291160925","84.51467663875746","60.031048537023466","0.00020891655872644463","0","0","0","59.90068199110456","12.610222949182305","38.31068799848734","6.497212983587232","30.707632206196273","1.4823737683031455","57.35486169450541","0","0","0","0","0","63.94572111239451","14.80385421620955","56.89978146080234","56.72158966405056","29.37167267294419","3.240456641179527","18.79050409153337","4.008255277777961","23.786031654250355","10.494782882378097","0","0","0","0","66.38024265042381","65.3632669689589","48.220366706031086","4.096084926689098","7","1.620381992087405","0.005591163997353814","1.620381992087405","47.5223610116243","2.060140230178833","20.384567258875062","[5.265658291160925,14.80385421620955,56.72158966405056,3.240456641179527,4.008255277777961,10.494782882378097,0,0,65.3632669689589,4.096084926689098,60.031048537023466,0,0,12.610222949182305,6.497212983587232,1.4823737683031455,0,0,0]"
"epoch_6","finished","-","","","2025-05-22T07:38:53.000Z","8838","","4","0.00625","0.9","19","15","0.0001","87.0888782559406","1.9825377854477113","82.94679743784009","56.78728346148453","0","0","0","0","60.1914012229478","10.766919734435108","43.08617241309628","2.9761508957738827","29.20027157054396","1.5764051722260128","54.77869157754972","0","0","0","0","0","62.23590310882968","6.243819194976013","55.28724196012473","57.123780564258674","27.988927152805505","4.60931730612266","15.762248385752","7.002863280269235","22.204129579283972","6.279829586847181","0","0","0","0","65.01256157886691","62.40312914806163","48.90373835730029","4.0949276342725245","6","1.6581566726040635","0.005685790649829707","1.6581566726040635","50.360535584683184","2.925908637046814","18.48724698034793","[1.9825377854477113,6.243819194976013,57.123780564258674,4.60931730612266,7.002863280269235,6.279829586847181,0,0,62.40312914806163,4.0949276342725245,56.78728346148453,0,0,10.766919734435108,2.9761508957738827,1.5764051722260128,0,0,0]"
