"Name","State","Notes","User","Tags","Created","Runtime","Sweep","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","lr","mean_loss","mean_loss_aux","mean_loss_bce","mean_loss_main","train_flops","train_fps","train_latency","train_loss","train_mIoU","train_params","val_flops","val_fps","val_latency","val_loss","val_mIoU","val_mIoU_per_class","val_params"
"epoch_50","finished","-","","","2025-06-06T20:47:12.000Z","200","","83.23100309266013","81.00061108858671","88.83734720576834","84.71591207834884","65.8716759182778","53.33781150494442","66.53506881033924","31.85569441169535","88.228943804718","81.92547022735566","85.79801412382507","34.820438055485894","89.51351087901267","28.618720153022153","89.62301692956825","29.39279286770688","74.49225060981404","19.15809845444486","58.056306575220916","48.82166530821496","79.24939690147686","64.19584985816363","88.09522744769548","80.03930822303506","81.28447563044189","31.08055068628194","73.8002449709453","30.62188700917627","42.91624060817354","29.79794890648203","43.90839763257659","18.645108554795748","62.38363764199883","41.81161870021513","90.12792361452824","84.62342383848079","78.36030680359815","45.36244844271711","50","0","2.6568905994788987","0.1698151512341645","0.09545136711372976","0.06632440531526813","12.659182592","95.74377450413547","10.991063833236694","2.6568905994788987","75.27963101055995","7720935","12.659182592","96.8699496671676","10.364874839782717","0.580934686422348","48.41186096679755","[81.00061108858671,64.19584985816363,80.03930822303506,31.08055068628194,30.62188700917627,29.79794890648203,18.645108554795748,41.81161870021513,84.62342383848079,45.36244844271711,84.71591207834884,53.33781150494442,31.85569441169535,81.92547022735566,34.820438055485894,28.618720153022153,29.39279286770688,19.15809845444486,48.82166530821496]","7720935"
"epoch_49","finished","-","","","2025-06-06T20:44:12.000Z","180","","83.20268330470745","80.04943923387543","88.77353673758518","84.65379539129006","65.7573556686781","55.43939796345193","66.58889904106307","31.326111146723463","88.06318822674105","83.00402007157454","85.74099750460019","37.61892092073376","88.8413883697697","30.481662908094965","89.4387767655492","28.767249112859016","73.74001846816202","19.414338835479768","57.472336953997186","49.59609921935916","79.29595914312628","65.328584455407","88.14634859329006","80.04451241019088","81.4948938415529","31.282454467850563","73.3534204174627","30.633593445299596","43.02217186260659","31.567063561002517","43.816967087146274","21.63100933100008","62.77613740891298","42.20800327760132","90.09451263326017","84.65572627289798","78.05602154294439","45.45563122730877","49","0.00018484470457853937","2.6607902092484723","0.17040132863906807","0.09553930584255976","0.06663618821641265","","","","2.6607902092484723","75.14082176690292","","","","","0.5809542608261108","49.11355859221057","[80.04943923387543,65.328584455407,80.04451241019088,31.282454467850563,30.633593445299596,31.567063561002517,21.63100933100008,42.20800327760132,84.65572627289798,45.45563122730877,84.65379539129006,55.43939796345193,31.326111146723463,83.00402007157454,37.61892092073376,30.481662908094965,28.767249112859016,19.414338835479768,49.59609921935916]",""
"epoch_48","finished","-","","","2025-06-06T20:41:14.000Z","178","","83.20380758121775","79.94004852082423","88.84686065681402","84.68888448782143","65.84022586836072","55.300189740633634","65.54736062198103","31.078215446588658","88.0309834885963","84.24154602101383","86.80691293589237","36.776603802922104","88.67945732600897","33.667469404365825","89.76429867439958","28.459677880893636","73.07403226358203","18.47259966020634","58.231635385324374","48.61310455375555","79.09249667962544","64.65464776071254","88.0928525912824","79.94924865590494","81.23448313093039","31.270451531198297","73.48442378903096","30.535320843337548","42.915105070408394","31.780240056424596","43.41645532789851","23.456407270517943","63.39163598575882","43.05798975567955","90.12002045460882","84.49953528047251","77.83648117239895","45.42691266644599","48","0.000344932415365304","2.663764622071924","0.17026979007945411","0.0956156610418822","0.06695494191299262","","","","2.663764622071924","75.13734363179579","","","","","0.579104888677597","49.25626807051153","[79.94004852082423,64.65464776071254,79.94924865590494,31.270451531198297,30.535320843337548,31.780240056424596,23.456407270517943,43.05798975567955,84.49953528047251,45.42691266644599,84.68888448782143,55.300189740633634,31.078215446588658,84.24154602101383,36.776603802922104,33.667469404365825,28.459677880893636,18.47259966020634,48.61310455375555]",""
"epoch_47","finished","-","","","2025-06-06T20:38:16.000Z","177","","83.11822340335881","81.10566006371333","88.72146628616208","84.710476619253","65.32147373529132","53.20786629718043","65.25906731604884","30.151442890831404","88.17992780398818","81.5815805866471","85.58522898752811","36.25554322238845","89.1674642708057","32.91571501195887","89.74167226141098","28.46844135187693","73.59535685422148","19.106700702956704","57.45867832208012","49.14051076853862","78.87568563245978","63.62279360802248","88.18028133906908","79.77287896102106","80.99905910529466","32.55558544020082","73.75926665451942","29.145570653687724","43.18249831032142","31.04650842036471","44.55034116698332","20.188696623262985","63.63396823910583","42.59984378532815","90.03338008535367","84.6258317976042","77.93025600739122","45.39537632025999","47","0.0004968395304717264","2.669303221253645","0.17132311124762203","0.09572431016665986","0.06752835726957891","","","","2.669303221253645","75.12069977796811","","","","","0.5792842741012574","48.71563279605773","[81.10566006371333,63.62279360802248,79.77287896102106,32.55558544020082,29.145570653687724,31.04650842036471,20.188696623262985,42.59984378532815,84.6258317976042,45.39537632025999,84.710476619253,53.20786629718043,30.151442890831404,81.5815805866471,36.25554322238845,32.91571501195887,28.46844135187693,19.106700702956704,49.14051076853862]",""
"epoch_46","finished","-","","","2025-06-06T20:35:17.000Z","178","","82.93342795478769","80.39515640766139","88.71458055531905","84.63329985050463","66.05107977491392","53.494740423359346","65.78992362245492","31.02369370263741","88.26842981233027","83.18615348568197","85.96364204694602","35.86918605918697","89.25267063982908","31.272364919072416","88.47510257520054","29.492779588331302","73.52808495230633","19.674367161577507","57.5214161586044","48.82303536709698","79.12368778850187","64.66900361831105","88.2033788723415","80.0243770525642","80.94263111303623","32.19206746260234","73.34337423477896","30.36401206322652","43.54965619405641","31.124210942749443","43.43924137256819","19.777166353207654","63.03855315482174","42.12633813940121","90.03984300112607","84.70530000129189","77.95552628386224","45.317660158211496","46","0.0006436666467726117","2.675276540314575","0.17247257880278824","0.09585056234027896","0.0680789591095223","","","","2.675276540314575","75.05969737409394","","","","","0.5794257221221923","48.8507848819303","[80.39515640766139,64.66900361831105,80.0243770525642,32.19206746260234,30.36401206322652,31.124210942749443,19.777166353207654,42.12633813940121,84.70530000129189,45.317660158211496,84.63329985050463,53.494740423359346,31.02369370263741,83.18615348568197,35.86918605918697,31.272364919072416,29.492779588331302,19.674367161577507,48.82303536709698]",""
"epoch_45","finished","-","","","2025-06-06T20:32:18.000Z","178","","82.88726672267391","80.28048930364169","88.7397009127036","84.6437247047073","66.31060086278018","51.24267435762305","65.02290233760124","32.298848718735364","88.01637428715992","81.60052271609759","85.21460104450334","35.76508351432909","89.04983294515361","32.57305030811193","86.05243058559692","28.29109968059545","73.63310064099473","18.958813166289335","59.27558757335443","49.373287250422024","79.03262216488315","65.17990435155724","88.12613796943775","80.40472182271394","81.18791922433863","30.887833285061703","74.33030968954627","31.121455934590408","43.281736876519176","30.691002693775047","45.06782611175446","28.171740172579096","62.36195858831189","44.69583904251708","90.03064638358266","84.33668318178137","78.25453311824533","45.574076091381635","45","0.0007868283823713545","2.680367752189248","0.17273222854119222","0.0959585521739858","0.06867070334937433","","","","2.680367752189248","75.04610989679692","","","","","0.5782408614158631","49.267939489290015","[80.28048930364169,65.17990435155724,80.40472182271394,30.887833285061703,31.121455934590408,30.691002693775047,28.171740172579096,44.69583904251708,84.33668318178137,45.574076091381635,84.6437247047073,51.24267435762305,32.298848718735364,81.60052271609759,35.76508351432909,32.57305030811193,28.29109968059545,18.958813166289335,49.373287250422024]",""
"epoch_44","finished","-","","","2025-06-06T20:29:20.000Z","178","","82.91165531126077","80.0928345681445","88.71084787925277","84.92862970465495","66.73160961817159","54.4830075417384","64.92795907355968","31.826841330190387","87.99813473277088","80.9313871414409","85.59639222702991","35.19009468317552","89.45973122860732","29.67784487867671","90.00218957287068","29.012588106409797","72.98385705823739","20.83207882852059","55.93131060478789","50.577161488179925","78.77616370061797","65.54426372376835","88.07576151722488","80.09883850019321","80.73435294338461","31.058557451202123","73.35631705412146","30.808191833649033","43.86415276363952","32.02055411080468","46.04584669803008","26.07989121595186","62.832542011118456","41.79812690181034","90.02222083666618","84.63179333941926","77.97133421517537","44.63693649421176","44","0.0009271353468595546","2.685409851049952","0.17293942968050638","0.0960889425100261","0.06903337144100939","","","","2.685409851049952","75.10170416034356","","","","","0.5818244314193726","49.16998009695486","[80.0928345681445,65.54426372376835,80.09883850019321,31.058557451202123,30.808191833649033,32.02055411080468,26.07989121595186,41.79812690181034,84.63179333941926,44.63693649421176,84.92862970465495,54.4830075417384,31.826841330190387,80.9313871414409,35.19009468317552,29.67784487867671,29.012588106409797,20.83207882852059,50.577161488179925]",""
"epoch_43","finished","-","","","2025-06-06T20:26:21.000Z","178","","82.79921532732735","80.59529163605217","88.67997304495928","84.50636517648101","67.15689450597773","51.932721071087585","64.72693735216252","32.832456680223586","88.12812622036792","82.95633316472461","85.28292735272025","35.08846083557178","89.65402058496049","33.82966156141841","88.92973893458318","26.197030789976026","72.42676200906604","18.75844727329875","56.69795882553474","47.10440611270996","78.73694001823097","63.56130562778928","88.10982365725046","80.14021343073594","80.16019606717295","32.24936097020665","72.50468288405877","30.450340085617434","44.540614184923385","32.14737741499815","44.39422578426171","21.840790253924993","61.76479772666947","43.1046491586371","89.97189839097216","84.68559649533184","78.07953256291293","45.691451385748245","43","0.0010651119308332296","2.693142811457316","0.17504362735432827","0.0962716418557798","0.06977565192235942","","","","2.693142811457316","74.88132975969012","","","","","0.5736848475933075","48.824855743396505","[80.59529163605217,63.56130562778928,80.14021343073594,32.24936097020665,30.450340085617434,32.14737741499815,21.840790253924993,43.1046491586371,84.68559649533184,45.691451385748245,84.50636517648101,51.932721071087585,32.832456680223586,82.95633316472461,35.08846083557178,33.82966156141841,26.197030789976026,18.75844727329875,47.10440611270996]",""
"epoch_42","finished","-","","","2025-06-06T20:23:23.000Z","178","","82.7463461643141","79.98023797428166","88.72971394062907","84.62708051913775","67.10437707093422","53.2449235933918","64.84556283401764","32.28931261378499","88.45662467295692","83.30071176451389","85.26438252773359","35.47914930132672","88.99310302756277","32.80816681563651","89.39387479488929","27.411370553490432","72.00101026877276","20.161212003496157","58.048690301873954","51.518581249544305","78.57592216695485","63.531220540428905","87.98663466598988","80.37588169547098","79.74660814435065","28.118923020208975","73.09524765973194","31.077897107272673","44.624885854263106","33.09452385911915","42.8065888696971","23.543741994219953","62.33642570946084","43.9267922451357","89.88137705695026","84.10391910346387","77.35755590899336","44.83534838361874","42","0.0012011244339814315","2.70174244038628","0.17656175466135865","0.09645528198426008","0.07056409656129417","","","","2.70174244038628","74.84183850737244","","","","","0.5764527518749237","49.12784180723912","[79.98023797428166,63.531220540428905,80.37588169547098,28.118923020208975,31.077897107272673,33.09452385911915,23.543741994219953,43.9267922451357,84.10391910346387,44.83534838361874,84.62708051913775,53.2449235933918,32.28931261378499,83.30071176451389,35.47914930132672,32.80816681563651,27.411370553490432,20.161212003496157,51.518581249544305]",""
"epoch_41","finished","-","","","2025-06-06T20:20:25.000Z","178","","82.73793392519231","80.62852104594369","88.67708033423828","84.60719939521316","67.37183186824308","53.46655011490055","64.18412510126834","30.074601201026425","88.51266153529434","80.93435980408765","85.47548753194523","35.92374197086951","88.80044727985782","31.42501010012433","89.04782290013691","28.33102161922949","72.72622638279788","19.17415627292736","57.8212447162727","52.57507500109736","78.34061924190357","64.77143435444357","87.9500974905333","79.68526902545538","79.4348250248086","31.87006186751617","72.00929273794078","29.921971742222297","44.52271140370148","32.12978865727767","42.03679256720479","20.645936759246833","62.72536450215418","43.62160068622351","89.84019373514035","84.29395379538727","77.78342609196669","44.679403186016046","41","0.0013354427415283657","2.7089987808208127","0.1775828519357373","0.0966223453481992","0.0713340162794857","","","","2.7089987808208127","74.73674654582109","","","","","0.5758459782600402","48.88208718943202","[80.62852104594369,64.77143435444357,79.68526902545538,31.87006186751617,29.921971742222297,32.12978865727767,20.645936759246833,43.62160068622351,84.29395379538727,44.679403186016046,84.60719939521316,53.46655011490055,30.074601201026425,80.93435980408765,35.92374197086951,31.42501010012433,28.33102161922949,19.17415627292736,52.57507500109736]",""
