"Name","State","Notes","User","Tags","Created","Runtime","Sweep","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","loss","lr","train_flops","train_fps","train_latency","train_loss","train_loss_final","train_mIoU","train_mIoU_final","train_params","val_flops","val_fps","val_latency","val_loss","val_loss_final","val_mIoU","val_mIoU_final","val_mIoU_per_class","val_params"
"epoch_50","finished","-","","","2025-05-17T07:43:27.000Z","1008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","0.3647173619031906","0","25.779775698","60.085428261102614","17.626002073287964","","0.3647173619031906","","63.52202414090407","12581672","25.779775698","60.32461969386766","16.598642110824585","","2.5110883798599244","","15.882543712041985","","12581672"
"epoch_49","finished","-","","","2025-05-16T15:18:56.000Z","912","","89.79243878353341","20.2761235502494","88.50626061756938","47.0316098026592","49.902194001212614","27.653160341164053","57.2065099185174","0.35043878635236697","50.71331730917814","26.735330099884543","76.49500138838397","0.628630790580002","40.12026645349421","0.4806647400037312","86.1755813132589","0.0027091670472401317","68.81376718512269","0.0017567951371910595","43.851918401106595","0","82.98785448708018","5.750960621686893","75.60194409637526","55.34763616793427","30.88921583987354","3.112799337598469","58.590882598490936","2.2207171901142035","48.8139933885485","5.014940571937325","52.189291826499314","7.887739969028323","56.24935109559783","3.408179501755386","76.95842746222857","62.59981952307893","69.91472793752328","4.753391869987304","49","0.3668937475204468","0.00018484470457853937","","","","0.3668937475204468","","63.356470742294455","","","","","","2.4813337020874022","","15.180922712566602","","[20.2761235502494,5.750960621686893,55.34763616793427,3.112799337598469,2.2207171901142035,5.014940571937325,7.887739969028323,3.408179501755386,62.59981952307893,4.753391869987304,47.0316098026592,27.653160341164053,0.35043878635236697,26.735330099884543,0.628630790580002,0.4806647400037312,0.0027091670472401317,0.0017567951371910595,0]",""
"epoch_48","finished","-","","","2025-05-16T15:03:49.000Z","907","","89.73279050921285","22.590341421075244","88.67510712951471","47.06761907358434","49.81705020540226","29.00665916698093","56.890400778374214","1.0566508370508942","51.6573350346256","29.578330225430943","75.88543445663211","0.5690026365694507","40.895064716664685","0.9094391824829122","84.9320746954443","0","69.11189855804741","0.004442206888382147","42.15504556002035","0","82.9906942089717","6.541987203970145","75.64808364808819","56.078175938199195","30.21898199323469","3.507207143968919","58.60053186589842","2.2007833313960843","48.66615368702809","5.912421662076368","52.08036961772986","9.17401227609666","56.892842206691775","2.6598057126887107","77.11199333644198","61.41721218691214","69.92433411674179","5.628928293249702","48","0.3677220894575119","0.000344932415365304","","","","0.3677220894575119","","63.25716770130342","","","","","","2.3263399343490603","","16.70017755874241","","[22.590341421075244,6.541987203970145,56.078175938199195,3.507207143968919,2.2007833313960843,5.912421662076368,9.17401227609666,2.6598057126887107,61.41721218691214,5.628928293249702,47.06761907358434,29.00665916698093,1.0566508370508942,29.578330225430943,0.5690026365694507,0.9094391824829122,0,0.004442206888382147,0]",""
"epoch_47","finished","-","","","2025-05-16T14:48:42.000Z","906","","89.78724385333027","21.560889611532783","88.3750617017165","46.135443608499685","49.49100569753285","26.83074554878869","56.729837414880755","0.15351007844305428","50.70374109737311","29.72923429877845","75.43827704990113","0.600112132974694","41.61533591865761","0.4881450255927321","84.25630212262351","0.08660674762793738","68.75886283140117","0","44.97225531914891","0","82.92243923250138","5.052206226922154","75.31786556057291","56.99537169601263","31.38970429030473","3.9945177217873775","59.017638156644104","2.5149239103775183","48.73590683819123","5.134596112100892","51.920242356729","8.732188379975838","56.417354291832126","2.8229508535900956","76.9667037086395","61.41409424163543","69.87310605851178","4.286400470926601","47","0.3682060792207718","0.0004968395304717264","","","","0.3682060792207718","","63.29941492107854","","","","","","2.379451407432556","","16.266584509739207","","[21.560889611532783,5.052206226922154,56.99537169601263,3.9945177217873775,2.5149239103775183,5.134596112100892,8.732188379975838,2.8229508535900956,61.41409424163543,4.286400470926601,46.135443608499685,26.83074554878869,0.15351007844305428,29.72923429877845,0.600112132974694,0.4881450255927321,0.08660674762793738,0,0]",""
"epoch_46","finished","-","","","2025-05-16T14:33:34.000Z","908","","89.77649856102803","22.610108854101103","88.51206719935661","47.04594976944016","49.122634853627304","27.706270162414583","56.71359185699244","0.30573767707307126","52.23371502692691","31.14420534224522","73.49622112634104","0.5581784492031455","40.73027801953862","1.1095443834241383","83.14370711463414","0.009675559150563309","67.99340787771743","0","43.90342164122082","0","82.86654179751568","6.550467381945244","75.38882216449669","54.40626599237639","30.76845298100158","3.0417299213662976","58.86547594634547","2.713741475204447","48.67264171848533","5.407142115467434","52.107364382842405","8.761884954254521","56.51794182085974","2.970778727156627","76.86521369276417","63.34449143084291","69.9243530824854","5.448709358092882","46","0.36862368941307067","0.0006436666467726117","","","","0.36862368941307067","","63.0317026770621","","","","","","2.316502133369446","","16.65499303257404","","[22.610108854101103,6.550467381945244,54.40626599237639,3.0417299213662976,2.713741475204447,5.407142115467434,8.761884954254521,2.970778727156627,63.34449143084291,5.448709358092882,47.04594976944016,27.706270162414583,0.30573767707307126,31.14420534224522,0.5581784492031455,1.1095443834241383,0.009675559150563309,0,0]",""
"epoch_45","finished","-","","","2025-05-16T14:18:31.000Z","903","","89.74148395334399","24.247152634098835","88.2645459528065","48.66988613433437","49.344070061979785","28.191030837838376","57.28419379910912","0.3422976080911043","51.578499461654424","27.42561905414792","76.39201703849685","0.6177138488248508","42.925616544935856","0.6758065603229266","84.43101844664976","0.006531377505935867","68.7608179799377","0","42.49863228919716","0","82.798111031252","5.804746769064946","75.25048766565347","54.95222797703857","31.005934755127324","2.9305384890744444","58.28508327570211","2.78214481284556","48.688792477637264","5.477695654691024","51.902755359848065","8.642379660106677","56.36623495454748","3.2768759821833","76.69127132714358","62.08954927332552","70.06389316776894","5.459309130067118","45","0.3709133062124253","0.0007868283823713545","","","","0.3709133062124253","","63.27755050225217","","","","","","2.2445213232040406","","16.564206223738914","","[24.247152634098835,5.804746769064946,54.95222797703857,2.9305384890744444,2.78214481284556,5.477695654691024,8.642379660106677,3.2768759821833,62.08954927332552,5.459309130067118,48.66988613433437,28.191030837838376,0.3422976080911043,27.42561905414792,0.6177138488248508,0.6758065603229266,0.006531377505935867,0,0]",""
"epoch_44","finished","-","","","2025-05-16T14:03:28.000Z","903","","89.60657365693721","21.945356063274986","88.16171342549984","46.78793146726265","49.690558264389786","27.555803605981467","56.670272206200266","0.3354388245177447","51.57383942087625","25.648403059630727","76.90166331541867","0.7907072147680038","38.897793677587046","1.0550817654004525","83.91802566575791","0.0100700644096812","68.70247485589105","0","44.0313339547124","0","82.82354977254771","5.866456836819681","75.1036342786103","51.980286460812685","31.90778116313387","3.21945590238579","58.74897345082235","2.0735547624000343","48.64615627711127","4.920053379594125","51.3080040766406","7.485151258757554","56.330553566769424","3.131896046880515","77.06012601062882","65.56397046724265","69.81770305335145","4.435854976675679","44","0.37102097902297976","0.0009271353468595546","","","","0.37102097902297976","","63.152670004888755","","","","","","2.3260674142837523","","16.04738071510673","","[21.945356063274986,5.866456836819681,51.980286460812685,3.21945590238579,2.0735547624000343,4.920053379594125,7.485151258757554,3.131896046880515,65.56397046724265,4.435854976675679,46.78793146726265,27.555803605981467,0.3354388245177447,25.648403059630727,0.7907072147680038,1.0550817654004525,0.0100700644096812,0,0]",""
"epoch_43","finished","-","","","2025-05-16T13:48:26.000Z","902","","89.67825072081826","19.358451976858227","87.82282988840065","45.703799076125335","49.55723639719953","26.627205805167424","55.412881397051486","0.29284759996182835","50.85388555841737","24.558576343144583","75.65320683030707","0.6662546778375323","41.53790336515936","0.4949167001887469","84.51856026686185","0.03013118655067446","67.83383289580563","0","44.92527265383059","0","82.90033027323548","6.085989627626739","75.05799548959125","54.18431667290097","32.27538224220524","2.8775869648736583","58.94287371002767","2.119085432849062","48.599895072485005","5.278356880565474","51.23056028018147","8.542127815120928","56.40176903123352","2.3099225736258977","77.18612521840917","63.77915617160367","69.76436019205309","4.845161577097837","43","0.3716734090328216","0.0010651119308332296","","","","0.3716734090328216","","63.16595534122494","","","","","","2.3861022357940675","","15.75022865188815","","[19.358451976858227,6.085989627626739,54.18431667290097,2.8775869648736583,2.119085432849062,5.278356880565474,8.542127815120928,2.3099225736258977,63.77915617160367,4.845161577097837,45.703799076125335,26.627205805167424,0.29284759996182835,24.558576343144583,0.6662546778375323,0.4949167001887469,0.03013118655067446,0,0]",""
"epoch_42","finished","-","","","2025-05-16T13:33:26.000Z","899","","89.77990802450819","21.526349258496055","88.01959804784971","48.77832201884792","49.59775994579461","26.566432971889352","56.47736179630226","0.2712540513587633","51.22630530713357","29.31655299261124","74.64953370532623","0.6507346941884529","39.177378569190175","0.35633327627362904","84.64031266014368","0.01813866429963529","68.26609457983372","0.0006775802254986988","44.93420459978793","0","82.78860748243801","5.552741394134789","75.16313756385082","55.20898316052649","32.27001489629793","3.2844051626752218","58.084221235894816","2.125083908725938","48.51058327466942","5.487713351004752","51.582800808033944","8.908715952831168","56.11392441898262","2.962846547172325","76.77846820182829","64.21261472552433","68.95125264627417","4.598622734869943","42","0.3722452646017075","0.0012011244339814315","","","","0.3722452646017075","","63.0006035665337","","","","","","2.3273373250961304","","15.545917913647529","","[21.526349258496055,5.552741394134789,55.20898316052649,3.2844051626752218,2.125083908725938,5.487713351004752,8.908715952831168,2.962846547172325,64.21261472552433,4.598622734869943,48.77832201884792,26.566432971889352,0.2712540513587633,29.31655299261124,0.6507346941884529,0.35633327627362904,0.01813866429963529,0.0006775802254986988,0]",""
"epoch_41","finished","-","","","2025-05-16T13:18:26.000Z","900","","89.6984341145445","20.19002272183356","88.2318615369052","47.89348380445987","49.42747546385886","28.413082422727005","57.327835879762354","1.1387211197392384","50.16835056023121","32.066047306781236","75.71299144017816","0.5882616170015998","45.98723621608111","0.5413311084268635","85.72882515925888","0","68.47513142021407","0.0009060980398079068","44.61225594647304","0","82.68468649071906","6.10839314591256","75.05536882703363","55.379157551535705","31.544757060963928","3.4124354261668315","57.69272819444288","2.607265917983122","48.36779298898764","5.744434410181453","50.68930787044618","9.036450338715946","56.108700921327326","3.3968755498970076","77.13046234916553","61.50598211884677","69.6714993225772","5.089550106413788","41","0.3739785663843155","0.0013354427415283657","","","","0.3739785663843155","","63.3850369349037","","","","","","2.4265338401794434","","16.653670633215434","","[20.19002272183356,6.10839314591256,55.379157551535705,3.4124354261668315,2.607265917983122,5.744434410181453,9.036450338715946,3.3968755498970076,61.50598211884677,5.089550106413788,47.89348380445987,28.413082422727005,1.1387211197392384,32.066047306781236,0.5882616170015998,0.5413311084268635,0,0.0009060980398079068,0]",""
