"Name","State","Notes","User","Tags","Created","Runtime","Sweep","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","lr","mean_loss","mean_loss_aux","mean_loss_bce","mean_loss_boundary_ce","mean_loss_main","train_loss","train_mIoU","val_loss","val_mIoU","val_mIoU_per_class"
"epoch_20","finished","-","","","2025-06-28T19:09:20.000Z","1189","","87.66128268319012","59.691898834723865","88.3198796619659","75.04245531944659","22.637008448378364","37.89605568424268","46.35977172318987","6.86996510459618","88.31243047806836","50.56359302742077","68.02008678838652","13.660176311008469","61.72697749422608","4.280870750023765","87.56588743417984","5.720702724298407","72.95395242907347","6.765330471229619","0.6303392691996019","0.308302962242266","83.61834685099834","19.09937481779493","79.17466519396213","69.8529904878481","61.66560706441763","14.353053652269992","54.97118355922462","12.413145539906104","35.5610017858468","27.4030528215708","24.579104343981133","20.82664548669402","18.54719900591846","10.53052268232024","70.89238093075924","77.20953551951257","72.37743054144738","24.87519587379906","20","0","2.5181949344525205","0.17848288814332694","0.10183731474474804","0.7136868565067299","0.08335034243826038","2.5181949344525205","59.24076503612704","4.6586475143432615","28.28225621426044","[59.691898834723865,19.09937481779493,69.8529904878481,14.353053652269992,12.413145539906104,27.4030528215708,20.82664548669402,10.53052268232024,77.20953551951257,24.87519587379906,75.04245531944659,37.89605568424268,6.86996510459618,50.56359302742077,13.660176311008469,4.280870750023765,5.720702724298407,6.765330471229619,0.308302962242266]"
"epoch_19","finished","-","","","2025-06-28T18:50:05.000Z","1155","","87.41252888136317","60.423683120163254","88.38921006411357","77.05587681047473","22.850979428265767","37.99688493680632","43.51100685044785","6.699767071227165","88.43148051521007","50.17308915727712","69.37737325660038","12.908955538807728","62.749693071172295","3.4925639282487597","86.74108132692339","11.919127260841138","72.6597236705689","7.045722669500727","0.5880356548772627","0.42642756724824826","83.30583167049495","19.719710823717172","78.88162194191526","70.66610666376947","61.787608442667384","15.30046534873728","55.33087475779903","12.096170526002302","35.74842109517665","28.111676769767545","22.659844714296092","18.82111111539217","18.660354528750418","9.40871634763026","71.71786036049745","76.78327290324816","72.10427780582536","24.905480576154407","19","0.0005807931748207717","2.5490010727697343","0.18080468827695736","0.1021804012246986","0.7191142043960628","0.08470978494534996","2.5490010727697343","59.10041094931396","4.591389457702637","28.62920048079021","[60.423683120163254,19.719710823717172,70.66610666376947,15.30046534873728,12.096170526002302,28.111676769767545,18.82111111539217,9.40871634763026,76.78327290324816,24.905480576154407,77.05587681047473,37.99688493680632,6.699767071227165,50.17308915727712,12.908955538807728,3.4925639282487597,11.919127260841138,7.045722669500727,0.42642756724824826]"
"epoch_18","finished","-","","","2025-06-28T18:30:23.000Z","1182","","87.35391855476551","58.34270143767567","87.95886302747068","75.99131640597","23.502822972512657","38.9284204809747","47.16086941230261","8.421100570796279","87.7239440898023","51.108707570890445","71.32233206013011","9.695663320447794","62.70411587824294","3.877777083599847","89.23501840307469","5.524373874155832","73.44640214030353","7.776630967360355","0.7186304409289362","0.37336690435888015","82.69346816191195","18.89123939404688","78.8155442217016","69.70449598062342","61.01854450984019","13.150454126096442","55.357683070268294","11.592148832133502","36.04094217690366","27.99962242163854","24.059170758297583","20.9994834574152","18.13437609773032","10.770049949595627","70.58006589697096","76.62371224281614","72.12601721617091","17.69487706944185","18","0.0011220184543019633","2.585848252910541","0.1850641688018211","0.10258237134291928","0.7275597011483809","0.0870385168036863","2.585848252910541","59.47119626785945","4.674092441558838","27.761375899475656","[58.34270143767567,18.89123939404688,69.70449598062342,13.150454126096442,11.592148832133502,27.99962242163854,20.9994834574152,10.770049949595627,76.62371224281614,17.69487706944185,75.99131640597,38.9284204809747,8.421100570796279,51.108707570890445,9.695663320447794,3.877777083599847,5.524373874155832,7.776630967360355,0.37336690435888015]"
"epoch_17","finished","-","","","2025-06-28T18:11:29.000Z","1134","","86.69052577007818","53.20196199222741","89.08626290722246","76.15930240560921","22.877173802581037","37.96159283626334","48.207647090405914","6.608993970087722","87.98090628355372","44.678054806168966","73.7957003353296","15.335578913910092","61.310858923983915","5.313510537304228","87.934719981397","3.4585582448197787","72.86378914560649","7.932046882895138","0.6152358353389558","0.4892308978102907","82.9756967655909","18.171424638164847","78.65773251977542","68.83733162078693","60.70322726287311","13.641539424250457","53.5174285820751","11.390511625976076","37.21982739410041","26.992790392493944","22.55194295922487","20.976751657308487","20.12872064988863","10.867797357080676","70.26968951826863","77.23107308102102","71.9967678427018","19.409578719342218","17","0.0016492507722311726","2.6227253887699105","0.187584436317878","0.10304741250839568","0.7355139565620341","0.08920120886727564","2.6227253887699105","59.44125545105243","4.835209619522095","27.297770000185302","[53.20196199222741,18.171424638164847,68.83733162078693,13.641539424250457,11.390511625976076,26.992790392493944,20.976751657308487,10.867797357080676,77.23107308102102,19.409578719342218,76.15930240560921,37.96159283626334,6.608993970087722,44.678054806168966,15.335578913910092,5.313510537304228,3.4585582448197787,7.932046882895138,0.4892308978102907]"
"epoch_16","finished","-","","","2025-06-28T17:52:11.000Z","1158","","87.25734283968467","64.28391778954997","88.88195591693449","77.13136423001802","24.89782937572612","39.15300186281044","41.05440047819639","7.672059368562587","88.57174990172734","48.26691064173797","70.9191583271316","11.599953850428296","56.07935077291978","5.906841560791233","87.39402278814784","1.2292164874686948","72.36221641186074","8.515999441378959","0.704801036687564","0.8289569193972852","82.32018489524042","23.028581296567243","78.41672742324582","70.74127781121943","59.59017805129929","15.216699124234248","52.962798198621485","12.51644536471938","36.21278468895754","29.659734015570898","18.791091969114685","20.535179695372165","16.518406195351243","11.4907293553098","69.91312496534844","76.98715537083956","71.78524585566863","22.41577566768738","16","0.002167596773468736","2.662742879599142","0.19176512280665736","0.1035868722492698","0.7445174734602605","0.09117805716722632","2.662742879599142","58.13859842588759","4.56932590675354","28.798936834403342","[64.28391778954997,23.028581296567243,70.74127781121943,15.216699124234248,12.51644536471938,29.659734015570898,20.535179695372165,11.4907293553098,76.98715537083956,22.41577566768738,77.13136423001802,39.15300186281044,7.672059368562587,48.26691064173797,11.599953850428296,5.906841560791233,1.2292164874686948,8.515999441378959,0.8289569193972852]"
"epoch_15","finished","-","","","2025-06-28T17:32:37.000Z","1173","","86.76318866352692","63.00465268846796","88.98651187975169","75.79229605395935","26.57012826638119","39.350477355431416","33.03309587692419","6.623622124567302","88.42199720011364","49.50970620709631","73.67960114688711","13.932621760748454","52.63765813298369","7.440061842056228","84.13939723116603","6.8555780778966025","72.71971633972188","8.573972663728236","1.1136202057631706","0.3605327688535132","82.32486779283867","23.24354230999485","78.20660426702537","67.71210819953164","59.038824957164195","14.5914209596426","54.88632441522806","12.420851681687758","36.43393889868663","28.580388466179972","16.892526459025518","20.42151865635555","20.245859238932702","9.751233644264747","68.8276085245549","77.64129779793046","71.68174370938164","27.69354371076084","15","0.002679433656340733","2.7036649347114157","0.19367674688127504","0.10412264095027564","0.7545394464088148","0.09362536523022504","2.7036649347114157","57.715958589792486","4.518708436965943","29.1315487878502","[63.00465268846796,23.24354230999485,67.71210819953164,14.5914209596426,12.420851681687758,28.580388466179972,20.42151865635555,9.751233644264747,77.64129779793046,27.69354371076084,75.79229605395935,39.350477355431416,6.623622124567302,49.50970620709631,13.932621760748454,7.440061842056228,6.8555780778966025,8.573972663728236,0.3605327688535132]"
"epoch_14","finished","-","","","2025-06-28T17:13:00.000Z","1176","","86.77034201774335","61.73918714677645","88.55486468193304","71.6579966123407","20.509184309728315","39.49299503552731","37.12353882113333","6.357104282798326","88.63615883811153","44.031024950531936","74.52876463931814","13.698124753081103","46.058113570907494","4.865053487705981","81.35892078034843","5.851098785552808","70.89773797241958","6.644551089452843","0.9465179135060706","0.5083719917479509","81.81641415776244","23.524812593368168","78.02364105087422","69.89932281231218","58.916379591563015","12.542130521573805","53.79013824743238","11.466917640595344","39.03423786253126","28.485424966829996","14.773531080095308","21.210611183537537","19.34339198896875","7.482368418003972","69.31190836913731","76.22179759339214","71.00238266279976","21.91886553230522","14","0.0031861424728108906","2.7588467371743373","0.20263965062495232","0.10494388261837746","0.7688757184344822","0.09788095831537424","2.7588467371743373","56.91558781875336","4.654284147262573","27.76830312618072","[61.73918714677645,23.524812593368168,69.89932281231218,12.542130521573805,11.466917640595344,28.485424966829996,21.210611183537537,7.482368418003972,76.22179759339214,21.91886553230522,71.6579966123407,39.49299503552731,6.357104282798326,44.031024950531936,13.698124753081103,4.865053487705981,5.851098785552808,6.644551089452843,0.5083719917479509]"
"epoch_13","finished","-","","","2025-06-28T16:53:59.000Z","1141","","86.62958648638237","51.68276477207466","88.62129383433593","76.23846498277994","18.037114700313342","37.82687215922939","41.41284479342958","8.133987994770619","87.7889056113777","27.926498331171175","75.07805167509449","6.129102448142485","43.34070634405439","6.7812886269531","79.79777483403142","0","70.69068435859064","6.138247607080348","1.0155772791598916","1.5388791562574489","81.01008899556899","25.42462508320896","77.87109121130226","68.83866148791782","59.655362715012735","12.714731452874116","53.41477539251904","14.274255086287772","40.98041713778723","29.82893897450756","16.00725574550699","20.62135058483326","26.736165015428988","9.5335950408712","65.75282699907493","76.75729956876127","70.45610762043314","20.141298311116586","13","0.003688626161317614","2.8143647103421467","0.2105764530853295","0.10573360134861362","0.7830659478966361","0.10307935669001486","2.8143647103421467","57.06824372365285","4.960760667800903","27.807270092713207","[51.68276477207466,25.42462508320896,68.83866148791782,12.714731452874116,14.274255086287772,29.82893897450756,20.62135058483326,9.5335950408712,76.75729956876127,20.141298311116586,76.23846498277994,37.82687215922939,8.133987994770619,27.926498331171175,6.129102448142485,6.7812886269531,0,6.138247607080348,1.5388791562574489]"
"epoch_12","finished","-","","","2025-06-28T16:34:58.000Z","1140","","86.38731308257263","65.80128484719135","89.1943266468519","77.36853402685315","13.604904189162776","38.98066358842577","39.825431379430874","8.371416342788503","88.65489288048789","44.29002526171373","77.87021289499975","19.91195430332267","47.69037487764848","7.321666782867369","83.71397002290585","22.513319658025516","68.85364839330865","9.165837880718984","1.1147271379031016","0.6292646829963825","80.39812253943256","28.524069341440555","77.34883655858614","71.87197495533476","58.93470735698715","14.793478026438756","53.176144721154586","15.26520464649284","45.41658756221144","30.284053099288915","15.601724785617034","21.765471372977228","28.5120562035023","9.065016332845666","63.73571729156707","74.87419361545392","69.57514322353722","22.725801358542924","12","0.004187520939907463","2.876211925610296","0.2168337795843702","0.1066195615716199","0.801665541205579","0.10867828576724284","2.876211925610296","57.34783377620355","4.50073264503479","30.711748953879944","[65.80128484719135,28.524069341440555,71.87197495533476,14.793478026438756,15.26520464649284,30.284053099288915,21.765471372977228,9.065016332845666,74.87419361545392,22.725801358542924,77.36853402685315,38.98066358842577,8.371416342788503,44.29002526171373,19.91195430332267,7.321666782867369,22.513319658025516,9.165837880718984,0.6292646829963825]"
"epoch_11","finished","-","","","2025-06-28T16:15:49.000Z","1149","","85.98855416578326","57.928313819158525","88.07100998486221","73.78978309015272","16.556113764297216","39.16772757152044","44.56484939029919","8.848049625289132","88.74274935281139","32.775933837982215","80.05372783817378","15.43983269996733","64.6462799085234","8.656301051973387","79.89516813679606","5.351938563928226","69.67576279766155","7.05954573357888","0.9523090952374138","0.7609214334801746","80.3316466392049","24.62950985275239","77.48395920457601","68.87143515707557","57.65064815357336","14.14239034350703","52.21615992888877","12.717333987477597","47.148268012431814","26.792780028587053","15.281892384719873","21.45877999092599","32.93620762002836","9.999289545891816","63.663309431117895","76.25524843517718","69.6102416221976","17.138414758852825","11","0.004683299025586002","2.9178329563852565","0.22188115471811184","0.10718162118721364","0.8094365351489866","0.11059501194464628","2.9178329563852565","58.70888723322021","4.721935083389282","27.46229102775149","[57.928313819158525,24.62950985275239,68.87143515707557,14.14239034350703,12.717333987477597,26.792780028587053,21.45877999092599,9.999289545891816,76.25524843517718,17.138414758852825,73.78978309015272,39.16772757152044,8.848049625289132,32.775933837982215,15.43983269996733,8.656301051973387,5.351938563928226,7.05954573357888,0.7609214334801746]"
