"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","momentum","num_classes","num_epochs","weight_decay","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","lambda_adv","loss","lr","train_flops","train_fps","train_latency","train_loss","train_mIoU","train_params","val_flops","val_fps","val_latency","val_loss","val_mIoU","val_mIoU_per_class","val_params"
"epoch_50","finished","-","","","2025-06-25T15:53:39.000Z","56985","","4","0.00625","0.9","19","50","0.0001","98.75600770638296","71.17509975997778","95.82774235351332","69.74543774851941","51.728470516551326","39.16407287249223","55.20608770368235","2.9425940731163376","90.10847521768338","75.17050989433383","89.88900067409816","21.596375194720803","93.23932416104904","15.19480961317605","92.11636896086412","1.2337075137512998","67.38837825821068","4.7991157352924985","39.35470335236552","0.06137801965081632","86.4616159183331","29.628789947693555","89.96172013816907","72.49714853849105","80.95628791829438","23.893319872561413","62.94314274395584","10.122676585397446","52.13469357027672","22.416307014136436","52.33022330819268","15.791378384478286","64.8845060984485","10.920455797276016","82.02363881985862","75.29857456812448","81.59275776932849","23.1417013051288","50","0.001","1.1779673482055095","0","25.779775698","59.39069284550019","17.753742694854736","1.1779673482055095","75.10016553627675","12581672","25.779775698","53.05460613980546","19.768588304519653","0.776697781085968","30.778602759911497","[71.17509975997778,29.628789947693555,72.49714853849105,23.893319872561413,10.122676585397446,22.416307014136436,15.791378384478286,10.920455797276016,75.29857456812448,23.1417013051288,69.74543774851941,39.16407287249223,2.9425940731163376,75.17050989433383,21.596375194720803,15.19480961317605,1.2337075137512998,4.7991157352924985,0.06137801965081632]","12581672"
"epoch_49","finished","-","","","2025-06-25T15:29:11.000Z","58387","","4","0.00625","0.9","19","50","0.0001","98.752164726457","71.41864092412263","95.83863379090248","71.34608839726123","52.87167987700753","35.9989281664397","54.58283999510063","2.814924144263439","90.23323980305746","75.11154192782138","89.75556692039494","21.240725667543657","93.39488883967437","13.96814676167058","91.8155584893448","1.1135579246421083","66.86391471629155","4.552443004552441","33.98053307391013","0.051405209102231106","86.35942947253922","30.52066921046907","89.98830083712397","71.897916525925","80.97168781768215","22.42616143104365","63.42236844015719","7.7126421375635665","52.344406621047646","21.05232028741909","52.30379383837597","13.26701204983602","65.05594280840229","8.981410945808687","82.0249992081519","75.2586843233543","81.5082761891014","24.652519635374553","49","0.001","1.1773671858600463","0.00018484470457853937","","","","1.1773671858600463","74.84569607709066","","","","","0.7682546415328979","30.178196772327013","[71.41864092412263,30.52066921046907,71.897916525925,22.42616143104365,7.7126421375635665,21.05232028741909,13.26701204983602,8.981410945808687,75.2586843233543,24.652519635374553,71.34608839726123,35.9989281664397,2.814924144263439,75.11154192782138,21.240725667543657,13.96814676167058,1.1135579246421083,4.552443004552441,0.051405209102231106]",""
"epoch_48","finished","-","","","2025-06-25T15:04:41.000Z","59812","","4","0.00625","0.9","19","50","0.0001","98.73585619170689","70.96984142375737","95.8358073573306","72.3417944996635","50.46057618425951","37.08771018189196","52.05145173298039","2.021520666872587","89.94963185430963","71.7730776230895","89.41920845208415","21.685032308520334","93.35747767002051","13.447164754419246","92.10896144515368","1.3260029279492764","65.34825637780416","2.299030831477589","38.223936319742734","0","86.15500430257461","31.34893436172196","89.88313420041702","72.76211971441725","80.55595573357992","24.4968900656958","62.41327406848784","7.560208682555351","52.20189891233764","21.496857313559552","52.15333676085259","16.14182985528909","65.00751822683593","9.164590011277149","81.87364157156405","75.33786465718237","81.33413211108623","26.46821731027696","48","0.001","1.1812311897654015","0.000344932415365304","","","","1.1812311897654015","74.58258207753306","","","","","0.7620785336494446","32.09603817720094","[70.96984142375737,31.34893436172196,72.76211971441725,24.4968900656958,7.560208682555351,21.496857313559552,16.14182985528909,9.164590011277149,75.33786465718237,26.46821731027696,72.3417944996635,37.08771018189196,2.021520666872587,71.7730776230895,21.685032308520334,13.447164754419246,1.3260029279492764,2.299030831477589,0]",""
"epoch_47","finished","-","","","2025-06-25T14:40:13.000Z","61235","","4","0.00625","0.9","19","50","0.0001","98.73995643906107","71.36731381955981","95.8199498179153","67.86432082115421","52.28068966833802","37.50969772185317","54.2156354937798","3.2200786480387045","90.05365297924267","74.25435402709181","89.76130900520674","20.44143548619918","93.18123713780491","16.72375153658742","91.64038485089242","1.957730738455637","65.58509329225497","3.916896292585169","37.32097307276209","0.027949658601692125","86.22346602885517","31.637714157449203","89.93108401574278","72.13554300783683","80.63095115516764","23.660058919431464","62.63945548678008","9.24121716212501","52.19388541227063","22.191765732821455","52.067666014251714","13.687549013200886","65.25850321147698","9.226383463531487","81.95433581754884","74.91554732846488","81.36070677143857","23.126830742325303","47","0.001","1.1794474374002486","0.0004968395304717264","","","","1.1794474374002486","74.78204924583108","","","","","0.7678629474639893","30.374007277753332","[71.36731381955981,31.637714157449203,72.13554300783683,23.660058919431464,9.24121716212501,22.191765732821455,13.687549013200886,9.226383463531487,74.91554732846488,23.126830742325303,67.86432082115421,37.50969772185317,3.2200786480387045,74.25435402709181,20.44143548619918,16.72375153658742,1.957730738455637,3.916896292585169,0.027949658601692125]",""
"epoch_46","finished","-","","","2025-06-25T14:15:43.000Z","62660","","4","0.00625","0.9","19","50","0.0001","98.7500204683466","70.98228905911482","95.82664245110595","69.05551730498448","50.394442125389936","38.19227014023813","54.292844030597344","2.67120801172336","90.20793431986368","69.26382175886037","89.67608977138968","21.03681157864493","93.36769305106968","15.421365037363216","92.10308886042743","0.8512357642289226","67.16140623548577","3.4187953742572255","34.79359646591778","0.018099525226059374","86.33341626379317","30.259240835300194","89.9323531356217","72.58192497311413","80.75173128564171","22.72305573695467","63.09341803262366","9.963796786463131","52.23097161280932","21.453374354152572","52.21105374353289","15.689127991699824","65.6638950427252","10.57811674110282","82.01908128753882","74.35748340409617","81.5486393231691","21.8597906752146","46","0.001","1.1787041618879923","0.0006436666467726117","","","","1.1787041618879923","74.75570092142367","","","","","0.7853052496910096","30.019859213302084","[70.98228905911482,30.259240835300194,72.58192497311413,22.72305573695467,9.963796786463131,21.453374354152572,15.689127991699824,10.57811674110282,74.35748340409617,21.8597906752146,69.05551730498448,38.19227014023813,2.67120801172336,69.26382175886037,21.03681157864493,15.421365037363216,0.8512357642289226,3.4187953742572255,0.018099525226059374]",""
"epoch_45","finished","-","","","2025-06-25T13:51:14.000Z","64084","","4","0.00625","0.9","19","50","0.0001","98.73599424859223","71.35925406871215","95.82832852684233","71.54627073635689","50.571027180632285","38.26318969920634","55.02631669404408","3.458812784358386","90.07446800060694","73.74681888537337","89.5214541876453","21.08307341771799","93.51768028619846","19.21862915015275","92.00081907342276","0.022475250037156655","67.13481767776464","4.7909103602345695","35.15475365744324","0.03896945791821831","86.23170161613291","28.85439789794973","89.94046647158578","72.62509125586665","80.55189440149151","24.34985755933078","62.86758752404569","10.992540289788714","52.36144555521669","22.307587076915425","52.535669263256025","15.413379209428324","65.64140288345146","8.462040256106667","81.9625750529566","76.21369900933178","81.33744479289227","26.39244063527293","45","0.001","1.1797060175999394","0.0007868283823713545","","","","1.1797060175999394","74.78925511022217","","","","","0.7545289955139161","31.00733878947678","[71.35925406871215,28.85439789794973,72.62509125586665,24.34985755933078,10.992540289788714,22.307587076915425,15.413379209428324,8.462040256106667,76.21369900933178,26.39244063527293,71.54627073635689,38.26318969920634,3.458812784358386,73.74681888537337,21.08307341771799,19.21862915015275,0.022475250037156655,4.7909103602345695,0.03896945791821831]",""
"epoch_44","finished","-","","","2025-06-25T13:26:45.000Z","65507","","4","0.00625","0.9","19","50","0.0001","98.7306417624732","70.69605761204579","95.82331145505292","71.2601321072734","52.140336711178094","39.36267340231227","52.3542407168837","2.2534466536550464","90.16893243050818","70.76287179615115","89.69136301614911","22.607044563948783","93.41737196035407","13.008242409328956","92.10635958627336","1.3958901468198217","65.49972490538413","3.707190526998472","38.47705969412924","0.02314773487717233","86.15985637176742","27.427613945222397","89.90572635300727","72.96621872965046","80.29915197974019","20.644928671046973","62.8377918286766","9.690933888996955","52.16173101995331","21.688118947236028","52.04519141155088","15.241089642623828","65.15841780660332","9.193640058060538","81.92173344799535","74.98697705095576","81.21042855586037","24.09927527396982","44","0.001","1.1804044300050878","0.0009271353468595546","","","","1.1804044300050878","74.74259847439686","","","","","0.7748770627975464","30.053447008482827","[70.69605761204579,27.427613945222397,72.96621872965046,20.644928671046973,9.690933888996955,21.688118947236028,15.241089642623828,9.193640058060538,74.98697705095576,24.09927527396982,71.2601321072734,39.36267340231227,2.2534466536550464,70.76287179615115,22.607044563948783,13.008242409328956,1.3958901468198217,3.707190526998472,0.02314773487717233]",""
"epoch_43","finished","-","","","2025-06-25T13:02:14.000Z","66933","","4","0.00625","0.9","19","50","0.0001","98.72909051453276","71.02980300578866","95.79278246307884","70.9591079539266","52.12344701179359","37.5636155221129","54.10508930002095","2.397783980704681","90.12045560453952","73.92876298480509","89.62941720001656","21.08553245529427","92.58082682538029","16.660449871597475","92.3421260106388","0.1351966559521017","67.54246531938908","2.7788340691566487","31.062109894607577","0.02277835612913235","86.06664635324496","28.931250973291185","89.78791097935826","72.52170408358594","80.43436500779583","22.20855854792645","62.42059377596848","9.323467238002152","51.95064165420663","21.922532670281235","51.91518419466809","15.386988840135436","64.89341286203639","8.717463185880522","81.86383246184357","75.3909528421696","81.19806828932788","23.986550134616856","43","0.001","1.1821318619541017","0.0010651119308332296","","","","1.1821318619541017","74.45044556433938","","","","","0.7718742561340332","30.260596493229315","[71.02980300578866,28.931250973291185,72.52170408358594,22.20855854792645,9.323467238002152,21.922532670281235,15.386988840135436,8.717463185880522,75.3909528421696,23.986550134616856,70.9591079539266,37.5636155221129,2.397783980704681,73.92876298480509,21.08553245529427,16.660449871597475,0.1351966559521017,2.7788340691566487,0.02277835612913235]",""
"epoch_42","finished","-","","","2025-06-25T12:37:46.000Z","68356","","4","0.00625","0.9","19","50","0.0001","98.71994571072402","71.17658054289231","95.79924770500476","71.72262184107029","50.5522476890692","39.10175332244618","54.02222551056774","2.1068662801022255","90.0593885650268","72.48944316489622","89.56568668979706","19.73724210981774","93.32589963170112","10.635807438094115","92.47152845217867","1.001891683598402","66.1614278325892","4.310746974514608","35.90706740257894","0","86.10004157737917","33.01727656362313","89.82076492678355","72.33333381820327","80.09063943796973","24.540259305806337","62.5057809901843","9.174107709318976","52.09895019483603","20.763992157598395","51.59083612063734","14.025657185841784","63.73933090798788","9.21319900221903","81.85406628486297","76.08064103940258","81.02408200433328","23.956900582444813","42","0.001","1.1826086309927104","0.0012011244339814315","","","","1.1826086309927104","74.49521882285326","","","","","0.7577831242084503","31.9660178178828","[71.17658054289231,33.01727656362313,72.33333381820327,24.540259305806337,9.174107709318976,20.763992157598395,14.025657185841784,9.21319900221903,76.08064103940258,23.956900582444813,71.72262184107029,39.10175332244618,2.1068662801022255,72.48944316489622,19.73724210981774,10.635807438094115,1.001891683598402,4.310746974514608,0]",""
"epoch_41","finished","-","","","2025-06-25T12:13:14.000Z","69782","","4","0.00625","0.9","19","50","0.0001","98.70224227309264","71.6303213417046","95.79767645623473","70.27625479401704","50.98483296542733","39.11112922306509","51.925375191884505","2.499603912188298","89.9846721515962","75.12768687415885","89.47805944385595","22.05175123431528","92.3099229728126","13.072018726943192","91.90925012357212","0.12436733746505411","66.24739315699955","4.105055848655175","37.848530332700456","0.0904351723254829","86.0365758800121","30.744308908430547","89.68440844806433","72.45991027624751","79.90750345643455","22.168530900082917","62.08730690858817","9.26943423032245","51.85245425661517","22.91634828670679","51.30740907510404","16.1519805982215","64.65980010095004","9.547839879825863","81.74655959975233","74.18817316193426","80.94419119349965","23.069341782525832","41","0.001","1.1857395923213918","0.0013354427415283657","","","","1.1857395923213918","74.39021915722087","","","","","0.7715728707313537","30.452868025743985","[71.6303213417046,30.744308908430547,72.45991027624751,22.168530900082917,9.26943423032245,22.91634828670679,16.1519805982215,9.547839879825863,74.18817316193426,23.069341782525832,70.27625479401704,39.11112922306509,2.499603912188298,75.12768687415885,22.05175123431528,13.072018726943192,0.12436733746505411,4.105055848655175,0.0904351723254829]",""
