"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","momentum","num_classes","num_epochs","weight_decay","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","loss","lr","train_loss","train_mIoU","val_loss","val_mIoU","val_mIoU_per_class"
"epoch_15","finished","-","","","2025-05-22T08:52:11.000Z","5482","","4","0.00625","0.9","19","15","0.0001","89.04999947432955","44.25679018996773","88.37378258468489","66.23549798314474","19.24325687337322","19.278766672321144","23.297901966386604","0.15779068853569028","65.51536015885975","25.80841638140898","66.0602624530177","2.86019191086991","60.28377579438037","1.405577898233957","57.99024802971403","0.013530995881296855","50.61785795699482","0","0","0","74.31139175724391","12.179708111773332","65.1431901535824","53.89931098053528","38.95673235014927","12.22184438329374","42.45303855331254","2.4794559699923706","35.714814130576094","10.32338353064379","14.68453899936626","7.649822123762205","41.1201591782222","3.1801438706579117","73.73325068118517","72.8186190400377","48.33030933865116","18.27312753357452","15","1.334708254561465","0.004827395219595097","1.334708254561465","53.04888169077944","1.353610113620758","20.76717519203731","[44.25679018996773,12.179708111773332,53.89931098053528,12.22184438329374,2.4794559699923706,10.32338353064379,7.649822123762205,3.1801438706579117,72.8186190400377,18.27312753357452,66.23549798314474,19.278766672321144,0.15779068853569028,25.80841638140898,2.86019191086991,1.405577898233957,0.013530995881296855,0,0]"
"epoch_14","finished","-","","","2025-05-22T08:45:28.000Z","5786","","4","0.00625","0.9","19","15","0.0001","88.83918872009295","41.427749629914466","87.90200116401049","65.49614556966917","13.907362373436024","14.79851462236407","28.46262069359537","0.05248737465852807","66.73060863181846","25.29670058691537","66.11535509184914","6.006181925228143","50.98895355871783","0.8244092093147384","55.24554335473801","0.04769511465754149","45.53670882506379","0.4273271934498242","0","0","73.9784309501978","20.494670833361088","63.86725705220589","50.218870924866344","42.48398787648548","11.797698187758035","42.56053218097234","3.6121014457998264","34.54883246016876","9.73421632387745","13.02278743653146","8.094685168366231","39.12442421839699","1.3034433646057917","73.32133212197314","71.93118888367952","48.51629113450094","18.39172957647389","14","1.34633494900842","0.004923563030093953","1.34633494900842","51.95290099137527","1.426327266216278","19.44198977416444","[41.427749629914466,20.494670833361088,50.218870924866344,11.797698187758035,3.6121014457998264,9.73421632387745,8.094685168366231,1.3034433646057917,71.93118888367952,18.39172957647389,65.49614556966917,14.79851462236407,0.05248737465852807,25.29670058691537,6.006181925228143,0.8244092093147384,0.04769511465754149,0.4273271934498242,0]"
"epoch_13","finished","-","","","2025-05-22T08:38:45.000Z","6089","","4","0.00625","0.9","19","15","0.0001","88.95451802247756","38.25815583428726","88.52591554831378","65.17564931223944","10.240019271378356","12.611383522396716","26.29863425857643","0","66.33010118722049","19.56001139666929","62.322130203817736","4.166231774626627","57.16989527600871","0","57.16735052532861","0.978427103762212","41.76780276891747","0.8865075499269358","0","0","72.97843336313406","19.625205167832792","64.46829904099836","57.43618242208355","38.21181324065538","12.627528869038157","41.79099453187231","6.995672399376911","34.049175698811865","10.710788269839323","11.154512609494066","6.62689290494511","35.951297054366755","1.236834091583359","73.58945796014808","68.64352555043696","46.90549371233114","16.611511189420998","13","1.3596719824350798","0.005019522569884105","1.3596719824350798","50.993102459658395","1.501269419670105","21.3844067099041","[38.25815583428726,19.625205167832792,57.43618242208355,12.627528869038157,6.995672399376911,10.710788269839323,6.62689290494511,1.236834091583359,68.64352555043696,16.611511189420998,65.17564931223944,12.611383522396716,0,19.56001139666929,4.166231774626627,0,0.978427103762212,0.8865075499269358,0]"
"epoch_12","finished","-","","","2025-05-22T08:32:01.000Z","6393","","4","0.00625","0.9","19","15","0.0001","88.61020503835746","50.15149468428665","88.02102427075933","65.82992315436238","7.169808376331896","4.480172956585187","17.542971536390613","0.016194102512717426","64.17113234269047","30.151135283088344","61.244337865406976","3.862589356922785","45.28569048287198","1.254811993663353","47.00824496729973","1.9288124443327497","31.318350811331825","0.8377082733871533","0","0","72.65365771666322","20.545771082220423","63.61306189992681","58.779864849791686","42.997615438883514","16.349777501557952","39.08325602562401","4.766585901222486","33.36889527021482","10.202513015481143","8.863960919159581","6.850598852817925","27.546031452132706","0.7573234651196113","73.00736250498845","70.10247625188491","47.2893855213425","10.704234785833709","12","1.3755359512109022","0.0051152786957086365","1.3755359512109022","47.71083291335421","1.191702597618103","19.8651104419484","[50.15149468428665,20.545771082220423,58.779864849791686,16.349777501557952,4.766585901222486,10.202513015481143,6.850598852817925,0.7573234651196113,70.10247625188491,10.704234785833709,65.82992315436238,4.480172956585187,0.016194102512717426,30.151135283088344,3.862589356922785,1.254811993663353,1.9288124443327497,0.8377082733871533,0]"
"epoch_11","finished","-","","","2025-05-22T08:25:16.000Z","6699","","4","0.00625","0.9","19","15","0.0001","88.91802261363242","51.63261278780985","88.20574654601162","62.69537052034163","2.6765736767622155","1.2542752223612987","12.594144210665398","0.12880699608313315","68.07668461502465","33.14674076648138","55.57761681043567","5.770470111825725","39.98784083854475","0.8886151301478727","51.512621710345506","0.6975501465034624","23.544984066537733","0.7559908450819623","0","0","71.85514829856375","18.890936693923855","62.142551248792664","55.54361593403907","40.784627600665985","11.562821594111607","38.90172678615825","9.366961602416708","32.33801148283782","14.606468382441268","5.349743967487472","2.7009754104372052","23.151256572234846","0.10940346664469444","73.35137359046858","67.30653387437052","48.14796704102861","18.263069244777583","11","1.387660799372909","0.005210836052568272","1.387660799372909","45.95092453756655","1.164134774684906","19.740067707211047","[51.63261278780985,18.890936693923855,55.54361593403907,11.562821594111607,9.366961602416708,14.606468382441268,2.7009754104372052,0.10940346664469444,67.30653387437052,18.263069244777583,62.69537052034163,1.2542752223612987,0.12880699608313315,33.14674076648138,5.770470111825725,0.8886151301478727,0.6975501465034624,0.7559908450819623,0]"
"epoch_10","finished","-","","","2025-05-22T08:18:34.000Z","6997","","4","0.00625","0.9","19","15","0.0001","89.05975227938875","37.571220725173575","87.59523889837216","64.9464031899067","0.6784056549104658","0.4920421057440406","7.8108721460818415","0","71.98693933244684","22.510604030025995","52.562110548101096","5.180653437028254","35.46552636334997","1.8220769127750007","51.63553006230129","3.137957305905966","18.330022898928423","0.010347005903239151","0","0","72.02197238271712","12.390731273067356","61.36896971857422","51.86359973274346","39.35776915055447","10.171703871449235","37.21676804258166","3.580254588974028","31.219454206302903","12.151478721137211","2.779654037036395","2.224313199797203","15.66416566900926","0.27540514576894165","72.54803034276638","69.51420882681491","47.77568621501002","21.033100942087447","10","1.4062054355939229","0.005306199087072482","1.4062054355939229","44.1709371082463","1.4550513911247254","18.75741770672368","[37.571220725173575,12.390731273067356,51.86359973274346,10.171703871449235,3.580254588974028,12.151478721137211,2.224313199797203,0.27540514576894165,69.51420882681491,21.033100942087447,64.9464031899067,0.4920421057440406,0,22.510604030025995,5.180653437028254,1.8220769127750007,3.137957305905966,0.010347005903239151,0]"
"epoch_9","finished","-","","","2025-05-22T08:11:50.000Z","7301","","4","0.00625","0.9","19","15","0.0001","88.97774029596151","45.687631394693575","85.901985998063","61.788076246906286","0.06266692529207263","0.16622375089174568","5.309790653415097","0","70.81997852940454","26.44993100178099","53.753556300947814","3.372202992062177","32.852713029585104","0.823312880972882","47.96525124381161","1.3950211720739585","8.706025326045209","0","0","0","70.91355338223701","7.498435290876297","61.387090620398595","53.76788334347481","38.785760806958045","9.79527443876032","33.205392320411356","4.2375981002846235","29.73912899285135","10.682838051812382","0.2272808438511008","0.307832755963157","6.988439440813194","0.20811674899318872","72.30252647242845","70.047746920331","45.502797322620914","21.229464774892357","9","1.434566491179996","0.005401372059699326","1.434566491179996","41.85564880583866","1.2770997791290284","19.841099366548107","[45.687631394693575,7.498435290876297,53.76788334347481,9.79527443876032,4.2375981002846235,10.682838051812382,0.307832755963157,0.20811674899318872,70.047746920331,21.229464774892357,61.788076246906286,0.16622375089174568,0,26.44993100178099,3.372202992062177,0.823312880972882,1.3950211720739585,0,0]"
"epoch_8","finished","-","","","2025-05-22T08:05:06.000Z","7606","","4","0.00625","0.9","19","15","0.0001","88.57392834400216","34.454747181636414","86.07624989391715","65.44383229365658","0.017212592732843347","0.007605975469719467","1.2678107671790548","0","70.42652077319114","21.28278889743952","52.7798235500058","1.6696550252814684","38.75119165600345","0","51.72419775887279","0","8.17583058349567","0.002744026254843205","0","0","69.80069912832325","12.573086009969956","60.211296679154515","47.80151180596419","38.09685178003753","6.518998501502309","32.661420349490186","2.1613802346312214","28.62609535032406","8.32108580225194","0.2347353145500732","0.11426806670784433","1.5466114367747337","0.006356041876487035","71.89421475718639","62.36068752621657","45.681455854177386","11.908480995553807","8","1.4583758609926598","0.005496359056072805","1.4583758609926598","41.47478592052323","1.5639963731765747","18.308481892294193","[34.454747181636414,12.573086009969956,47.80151180596419,6.518998501502309,2.1613802346312214,8.32108580225194,0.11426806670784433,0.006356041876487035,62.36068752621657,11.908480995553807,65.44383229365658,0.007605975469719467,0,21.28278889743952,1.6696550252814684,0,0,0.002744026254843205,0]"
"epoch_7","finished","-","","","2025-05-22T07:58:22.000Z","7911","","4","0.00625","0.9","19","15","0.0001","88.30252915853184","43.25511430535352","86.82225340114654","63.40248877205724","0.040273076702426705","0.002254698100972111","0","0","69.35385484789364","26.087304047756","53.07586182881169","3.5441968566529662","33.28939077603798","0.03885497614533635","53.26271392315533","11.48925076724923","4.167756020646064","0","0","0","67.48603746717461","5.512016812932389","59.17846607647842","51.01942609360455","39.40841936307875","6.818314680930566","30.18035856827827","3.6932467914680265","27.52799554980676","8.81160255057639","0","0.12653149399746932","0.5600623981032778","0","71.31046529465735","68.6561772366035","45.00751646377722","14.034575561960631","7","1.4798831328367577","0.005591163997353814","1.4798831328367577","45.56087213839251","1.2850921726226807","20.432757043025916","[43.25511430535352,5.512016812932389,51.01942609360455,6.818314680930566,3.6932467914680265,8.81160255057639,0.12653149399746932,0,68.6561772366035,14.034575561960631,63.40248877205724,0.002254698100972111,0,26.087304047756,3.5441968566529662,0.03885497614533635,11.48925076724923,0,0]"
"epoch_6","finished","-","","","2025-05-22T07:51:38.000Z","8217","","4","0.00625","0.9","19","15","0.0001","87.29455431519543","37.416971885680546","87.66478453119049","56.948389121367946","0","0","0","0","61.15254868367456","24.672251103529653","41.15270955900789","4.737957049947665","25.63217749245428","0.02478271263238464","55.15703868808261","0.5926701490655222","3.700550880541337","0","0","0","64.75956075744476","17.29556589576911","59.11825882146846","49.12979750742122","40.91319901762363","10.078141056074992","27.20986871578372","5.405290682698922","25.447738818837657","8.95080098407483","0","0","0.5395808478859214","0","70.36714947184541","68.42324542232588","46.000958755773965","9.225435895901873","6","1.5253053511309826","0.005685790649829707","1.5253053511309826","46.407378623787345","1.398597824573517","22.53086918973004","[37.416971885680546,17.29556589576911,49.12979750742122,10.078141056074992,5.405290682698922,8.95080098407483,0,0,68.42324542232588,9.225435895901873,56.948389121367946,0,0,24.672251103529653,4.737957049947665,0.02478271263238464,0.5926701490655222,0,0]"
