"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","momentum","num_classes","num_epochs","weight_decay","class_0_train","class_10_train","class_11_train","class_12_train","class_13_train","class_14_train","class_15_train","class_16_train","class_17_train","class_18_train","class_1_train","class_2_train","class_3_train","class_4_train","class_5_train","class_6_train","class_7_train","class_8_train","class_9_train","epoch","loss","lr","train_loss","train_mIoU"
"epoch_15","finished","-","","","2025-05-23T10:11:51.000Z","432","","4","0.00625","0.9","19","15","0.0001","88.71493236244743","85.91629780610694","13.850112865055534","15.701932799926174","73.28467091886537","57.079853272848226","62.46300753346805","70.61419091091312","19.993352073608587","0","72.31227055957136","61.80533508786654","36.54247334278431","33.627023714583466","31.248336411646456","15.13666159967316","20.271343205839585","68.96072099158961","48.03727890247206","15","1.422590929728288","0.004827395219595097","1.422590929728288","48.64221079773699"
"epoch_14","finished","-","","","2025-05-23T10:04:34.000Z","436","","4","0.00625","0.9","19","15","0.0001","88.68274325962355","85.93394975582432","9.345116936610234","15.74311733772034","74.75833105043482","59.863650951707434","66.17663381143248","72.4655094282429","14.04262132813182","0","71.68969250755944","60.38928122367584","34.91457081098203","33.62149514376754","31.102250018158827","11.462804305156329","16.951789216234555","68.86375082345147","48.85886325190959","14","1.4409185790608072","0.004923563030093953","1.4409185790608072","48.048120620034645"
"epoch_13","finished","-","","","2025-05-23T09:57:23.000Z","430","","4","0.00625","0.9","19","15","0.0001","88.62537510433441","84.64502974276603","6.042023423093763","12.775500946362367","73.82665105252988","57.86354387400765","67.36556677577255","73.21507665773788","8.905925363297559","0","70.2819285262355","60.82157284201906","34.82580228864808","31.801532454072724","30.30400289325349","9.966046493903146","9.77524283896894","68.67564279545138","48.36211145580614","13","1.4530295255856636","0.005019522569884105","1.4530295255856636","46.55992086268114"
"epoch_12","finished","-","","","2025-05-23T09:50:12.000Z","431","","4","0.00625","0.9","19","15","0.0001","88.46964575667596","85.16268545808823","4.405718953052168","10.504279941368443","72.5922960787342","54.56380728055951","59.59159677241301","74.84628049405494","4.10027918842812","0","70.25409128044899","59.4130524543891","37.98847370283739","30.59106144420099","29.301818186883388","6.5863944804579395","6.3617966460396635","67.86220671475324","47.42092341935255","12","1.4710061020321317","0.0051152786957086365","1.4710061020321317","45.00091156959654"
"epoch_11","finished","-","","","2025-05-23T09:42:58.000Z","433","","4","0.00625","0.9","19","15","0.0001","88.62305761612839","86.87636207389528","1.5325479233226835","5.232493854881646","71.72674605207119","58.58774187122992","55.38725776507776","67.16666656669668","5.489428464699288","0","69.50404452456318","58.15455784502688","41.63742010039181","29.25170867007445","28.415327657405843","4.290329802088393","3.3248328054885374","67.92311078621861","43.55716983029695","11","1.4812705017562606","0.005210836052568272","1.4812705017562606","43.70448912275319"
"epoch_10","finished","-","","","2025-05-23T09:35:44.000Z","434","","4","0.00625","0.9","19","15","0.0001","88.51421458043176","86.20824415981424","1.080619993758452","3.7926820629073377","68.9085946169676","49.43490390167087","51.29165621268649","71.13480071371193","3.838893521961263","0","68.16939841210714","59.094866579320346","37.5629539926564","23.659987398391735","28.05819009427542","2.0284981707647205","0.9623245252878324","68.26695543911907","43.91451838406575","10","1.5018155814236045","0.005306199087072482","1.5018155814236045","41.99568348666102"
"epoch_9","finished","-","","","2025-05-23T09:28:30.000Z","433","","4","0.00625","0.9","19","15","0.0001","88.05749745668749","86.28634724033388","0.3223331576227929","2.5159225856430427","68.1825925093579","50.25950031836093","63.85641800642519","62.2712256037009","2.651687286888427","0","64.19409978034317","58.14834448093117","36.97526936702243","21.43958314183541","26.788024676510464","0.8130207114269742","0.1306902225892109","67.08432184917392","42.759709263208016","9","1.5365351250029018","0.005401372059699326","1.5365351250029018","41.26314375878118"
"epoch_8","finished","-","","","2025-05-23T09:21:17.000Z","433","","4","0.00625","0.9","19","15","0.0001","88.07060818494178","85.8051152525807","0.09036930365546962","0.07211625139725233","68.42758402896973","44.22298605285198","54.80005138966211","66.84354948685855","3.067839673053101","0","66.04825944909814","57.97016932511876","37.356810493147215","21.51808579957873","25.778223612232186","0.01596043369558976","0.05374179743506859","66.65952463988778","41.54696207460325","8","1.5560863894275112","0.005496359056072805","1.5560863894275112","40.463775402709295"
"epoch_7","finished","-","","","2025-05-23T09:14:01.000Z","435","","4","0.00625","0.9","19","15","0.0001","87.70571400800239","86.57353783692258","0.02797240751622764","0","67.7656440189312","48.55857142009087","48.07529746832823","57.998148094092706","2.8288871216502787","0","64.2731732273448","58.30845559843231","34.70118724994273","20.050322444699884","24.481538150448056","0","0","66.26627022617578","37.74111290017959","7","1.5829875260336783","0.005591163997353814","1.5829875260336783","47.02372214485051"
"epoch_6","finished","-","","","2025-05-23T09:06:47.000Z","434","","4","0.00625","0.9","19","15","0.0001","86.51632766518418","84.50673220540035","0","0","62.95237208268824","35.25605886285989","36.18267713170045","54.25457101589186","1.9086096825411167","0","59.02050607697237","57.49689965255983","34.46460166395944","16.676270631986544","22.97188085183809","0","0","65.11205478395247","38.91788531957064","6","1.656744625323858","0.005685790649829707","1.656744625323858","46.874103401936104"
"epoch_5","finished","-","","","2025-05-23T08:59:32.000Z","435","","4","0.00625","0.9","19","15","0.0001","86.76703235826248","83.54406977377508","0","0","65.60301766559247","36.26568587964275","25.67323325272966","33.42229496119762","1.3675301732366492","0","59.29507493935232","55.95874083234297","34.66279887297931","10.166292097699367","20.06319300825824","0","0","64.16984735933443","38.139840776445624","5","1.6893341240719852","0.005780242633777969","1.6893341240719852","43.93561799648921"
