"Name","State","Notes","User","Tags","Created","Runtime","Sweep","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","loss","lr","train_flops","train_fps","train_latency","train_loss","train_mIoU","train_params","val_flops","val_fps","val_latency","val_loss","val_mIoU","val_mIoU_per_class","val_params"
"epoch_50","finished","-","","","2025-05-25T10:46:22.000Z","2716","","77.82929512731191","76.07660694769987","85.38958527833324","82.40799139508059","65.98689022625499","58.50973513066544","50.18204047014238","37.797060147623725","87.99698428996997","84.76085917783419","68.66179307736674","53.001377873734675","73.38247559261231","60.12632474934046","80.06002143622723","42.03091040811397","57.72737990281508","34.75479476945632","58.127186328971256","55.53492258365148","69.74099383518457","59.54372422342059","83.48862044610017","79.19851788315361","52.7145687212324","31.57964963367475","54.36592351511005","29.674429712889772","32.52444191646156","27.80202897921406","39.76396423223762","33.32363936166608","48.12399812825554","42.29889163631225","84.74929284598004","82.30877600654874","61.388909752522494","42.09766858389305","50","0.3676797233465064","0","374.664739584","3.2870812873335415","306.93090415000916","0.3676797233465064","64.85286132226788","43795724","374.664739584","3.2839345190052507","304.5408594608307","0.4443127725295678","53.30673206336704","[76.07660694769987,59.54372422342059,79.19851788315361,31.57964963367475,29.674429712889772,27.80202897921406,33.32363936166608,42.29889163631225,82.30877600654874,42.09766858389305,82.40799139508059,58.50973513066544,37.797060147623725,84.76085917783419,53.001377873734675,60.12632474934046,42.03091040811397,34.75479476945632,55.53492258365148]","43795724"
"epoch_49","finished","-","","","2025-05-25T10:11:20.000Z","2102","","77.84159540061495","76.06046304769745","85.50986164429001","82.44142407297339","65.98623608949036","58.72823959309772","49.764499315215794","37.97203849304305","87.8997984188664","84.77983057689423","69.07756594866493","52.89575775236661","74.2502553180053","59.66202676186322","80.35351779301801","39.270023656640745","56.39475012100055","34.288761335045386","58.040483751521585","54.991110253810064","69.74540422373536","59.627915999237935","83.55927514311348","79.24469679203038","52.64581209908553","31.136166246194275","53.62914069184696","29.35725323439656","32.57689230191544","27.86738884590203","39.5678128051921","32.74181625451553","48.05920412975049","42.29395990047728","84.69976580272073","82.14702442558047","62.065557675041646","42.36136528146402","49","0.3670519579571622","0.0000027049733512249672","","","","0.3670519579571622","64.82460150910997","","","","","0.4441667773766432","53.04564539595949","[76.06046304769745,59.627915999237935,79.24469679203038,31.136166246194275,29.35725323439656,27.86738884590203,32.74181625451553,42.29395990047728,82.14702442558047,42.36136528146402,82.44142407297339,58.72823959309772,37.97203849304305,84.77983057689423,52.89575775236661,59.66202676186322,39.270023656640745,34.288761335045386,54.991110253810064]",""
"epoch_48","finished","-","","","2025-05-25T09:36:16.000Z","2104","","77.83135037328687","76.06549301495981","85.51395541171345","82.40109843255564","65.89211131972942","58.75859633550462","50.44959989733907","37.828905697982435","87.91569196589091","84.80445284921075","68.09789900723811","52.647875160626675","74.17408538647918","59.95189100437172","79.73095962926494","40.74492868913005","56.63362703173941","34.90713939261182","57.77125488172338","55.65154434016749","69.6970583486852","59.60550014849012","83.52376851418862","79.27482704940914","53.10282302428344","31.466775819851584","54.591599497927454","29.554250700426444","32.62758501427477","28.003369108885828","39.41508230822092","33.16690292213664","48.11199132675866","42.37210720836483","84.77775688624854","82.17910899589529","61.320413536955456","42.47002056613385","48","0.36684805240112406","0.000005798237309421569","","","","0.36684805240112406","64.79887438747093","","","","","0.4442990404403138","53.25551512824814","[76.06549301495981,59.60550014849012,79.27482704940914,31.466775819851584,29.554250700426444,28.003369108885828,33.16690292213664,42.37210720836483,82.17910899589529,42.47002056613385,82.40109843255564,58.75859633550462,37.828905697982435,84.80445284921075,52.647875160626675,59.95189100437172,40.74492868913005,34.90713939261182,55.65154434016749]",""
"epoch_47","finished","-","","","2025-05-25T09:01:14.000Z","2102","","77.83559948606516","76.04565459951786","85.46142763008035","82.52903159668882","65.70575869498822","58.64039912792213","50.36845667790075","38.06336069237959","88.00277376450647","85.07197415349862","68.76902484669723","53.64872127343763","73.72349368130517","60.26041570381874","80.51350928407943","41.04736611559867","56.4875781929887","35.91268056929496","57.95005197948811","55.574016308024675","69.69616417015652","59.78041301592829","83.46183512188124","79.23973559841598","52.57306894923796","32.03278593499168","54.44072618098158","29.433446647853636","32.386662094449","27.84566268795725","39.89235113749265","33.44730519141342","47.98277043087592","42.41908867737126","84.66408246721369","82.25569656697095","61.63741727711651","42.76909743734775","47","0.36768730240696257","0.000009057250327339015","","","","0.36768730240696257","64.81856589828972","","","","","0.4421845995737407","53.47457115254904","[76.04565459951786,59.78041301592829,79.23973559841598,32.03278593499168,29.433446647853636,27.84566268795725,33.44730519141342,42.41908867737126,82.25569656697095,42.76909743734775,82.52903159668882,58.64039912792213,38.06336069237959,85.07197415349862,53.64872127343763,60.26041570381874,41.04736611559867,35.91268056929496,55.574016308024675]",""
"epoch_46","finished","-","","","2025-05-25T08:25:52.000Z","2122","","77.8048476765853","76.0339611922324","85.4994949014083","82.45053036629425","66.06334972804135","58.88840907178706","50.08160560715209","38.13121796270426","87.9398926319828","84.71099033233622","68.32161758239113","53.00368086326155","73.77948078621488","59.276914165844794","80.02973940871256","38.47759090510422","57.1062658167926","34.658914728682156","58.15438104069837","55.62435360316932","69.69220300162307","59.63816977141416","83.49582138439771","79.31449384478528","52.6361045241325","31.322998630733412","55.06540204045323","29.37817040349919","32.41335835267461","27.988545163097623","39.972286957394296","33.23799520539013","48.02081450148668","42.21891797940409","84.65098927409962","82.26496087169859","61.121834065526016","42.4534701287058","46","0.367198558993467","0.000012428793755451733","","","","0.367198558993467","64.83418364640879","","","","","0.44518485897315474","53.10917290474444","[76.0339611922324,59.63816977141416,79.31449384478528,31.322998630733412,29.37817040349919,27.988545163097623,33.23799520539013,42.21891797940409,82.26496087169859,42.4534701287058,82.45053036629425,58.88840907178706,38.13121796270426,84.71099033233622,53.00368086326155,59.276914165844794,38.47759090510422,34.658914728682156,55.62435360316932]",""
"epoch_45","finished","-","","","2025-05-23T22:44:44.000Z","1951","","77.78903916207167","75.99026792499812","85.4992042241042","82.43519621639706","65.63668055353175","58.24612525519529","50.49703408815629","37.80955774811056","87.8348687832965","84.63359871158454","67.73807758453009","52.930038210489585","73.69446875911801","59.16309694627439","77.91088646555593","37.05166344465855","56.98650767366003","32.90259717662888","58.090245173780616","54.78413799626277","69.55315815322312","59.62675242073961","83.46693732574487","79.18463875706215","52.0063266550545","31.14772884566649","54.11340173327387","30.028302066070484","32.40839064174832","27.740947271344695","39.323688914591415","32.740887893261196","48.11932707681824","42.1367482651852","84.66912284849529","82.15412089764214","61.41479416519719","42.09112396169225","45","0.3685732290489983","0.000015886564694485623","","","","0.3685732290489983","64.56590315694484","","","","","0.4450596278299115","52.778817368908626","[75.99026792499812,59.62675242073961,79.18463875706215,31.14772884566649,30.028302066070484,27.740947271344695,32.740887893261196,42.1367482651852,82.15412089764214,42.09112396169225,82.43519621639706,58.24612525519529,37.80955774811056,84.63359871158454,52.930038210489585,59.16309694627439,37.05166344465855,32.90259717662888,54.78413799626277]",""
"epoch_44","finished","-","","","2025-05-23T22:12:17.000Z","1947","","77.83144671928922","76.04223846160322","85.44665971500177","82.39660608903246","65.8579545209761","58.65892840729694","50.2565178445484","37.868497628085485","87.8368071451878","84.7855978628226","67.88171700920424","52.12555540233708","72.63028688470607","59.754490766501135","79.74327652392707","40.10117539465018","56.23570590961703","34.182598576329575","57.914500464720305","55.26254990488653","69.68262157349005","59.55711173186773","83.48631248017966","79.16293203837692","52.35354552299902","31.428831736461525","54.494102443231526","29.49250705065608","32.509717323821334","27.757781427308664","39.461637011474274","32.83380058414491","48.24949005519369","42.164840292518605","84.65548611527039","82.18165472981819","61.4383351482042","42.32861570471835","44","0.36779718220461416","0.000019414641088780204","","","","0.36779718220461416","64.62979581110748","","","","","0.4446308607469775","53.057174409969285","[76.04223846160322,59.55711173186773,79.16293203837692,31.428831736461525,29.49250705065608,27.757781427308664,32.83380058414491,42.164840292518605,82.18165472981819,42.32861570471835,82.39660608903246,58.65892840729694,37.868497628085485,84.7855978628226,52.12555540233708,59.754490766501135,40.10117539465018,34.182598576329575,55.26254990488653]",""
"epoch_43","finished","-","","","2025-05-23T21:39:48.000Z","1948","","77.76418307700834","76.072937936575","85.49145727579675","82.6909813098855","65.94901044681436","58.321213246353295","49.72566767827371","37.74566792434706","88.04654931412769","84.83531175001603","68.201079906677","52.88244471528384","73.04198211167517","59.81160507793635","79.02350259607772","40.11349605561671","56.941492557812154","34.69629194929406","57.995315930481674","55.56920483522575","69.69410893389016","59.52696538083584","83.43927155507613","79.34754286798147","52.14469245223253","31.56711695699967","54.667649127336425","29.40544710961382","32.41507643072426","27.74998112211753","39.65071601631984","32.66462394702284","48.05443697600189","42.17276110904521","84.72364754829357","82.16743268656991","61.14627684374834","42.22925034227333","43","0.36800215080494186","0.000023002277310736556","","","","0.36800215080494186","64.6376903567562","","","","","0.4442505559878435","53.13527770121016","[76.072937936575,59.52696538083584,79.34754286798147,31.56711695699967,29.40544710961382,27.74998112211753,32.66462394702284,42.17276110904521,82.16743268656991,42.22925034227333,82.6909813098855,58.321213246353295,37.74566792434706,84.83531175001603,52.88244471528384,59.81160507793635,40.11349605561671,34.69629194929406,55.56920483522575]",""
"epoch_42","finished","-","","","2025-05-23T21:07:18.000Z","1950","","77.7788465910014","76.06810701302477","85.43967068704553","82.48005225141095","65.92627224638021","58.14869974446992","50.137003886888","37.473668467487165","87.93690565622792","85.00110620782507","67.34920939942471","53.40959870323315","73.63208990977084","59.40680559997188","79.15040889108556","38.65419133321105","56.97609026843008","35.66579297168479","58.05787119591061","55.55601811077128","69.37204940187021","59.55532790325654","83.45829864184391","79.27857630507566","53.01788407860356","31.64941542487178","53.98291500135416","29.77964537820191","32.468951717978925","28.110980703361548","39.47747412791967","33.189566903630514","48.019036699251835","42.11928799541182","84.66372310921093","82.21674149167467","61.4192583794012","42.18417436754048","42","0.36801073831001313","0.000026641702636859944","","","","0.36801073831001313","64.6454715731368","","","","","0.4429839824488063","53.1551450987429","[76.06810701302477,59.55532790325654,79.27857630507566,31.64941542487178,29.77964537820191,28.110980703361548,33.189566903630514,42.11928799541182,82.21674149167467,42.18417436754048,82.48005225141095,58.14869974446992,37.473668467487165,85.00110620782507,53.40959870323315,59.40680559997188,38.65419133321105,35.66579297168479,55.55601811077128]",""
"epoch_41","finished","-","","","2025-05-23T20:34:46.000Z","1952","","77.73792931911528","76.0476271859885","85.51420780657843","82.49696780358718","65.7732016064136","58.49780995653823","50.41618559664044","37.845810870494866","87.86566721059886","84.84757945406808","66.69705947665403","52.73041104938636","73.88676053743318","58.979802115777034","80.11639190703922","36.451010934439616","56.80836517124612","35.873848003205545","57.75863641301891","55.44198701545916","69.49790088643341","59.520067466326175","83.39761036006499","79.28101743368579","52.415627649779616","31.787519694391907","54.10255824167373","29.452119854052444","32.389251019166295","28.076079541849104","39.30042862202342","32.88328862303969","47.736490859666034","42.21297332743222","84.64720907921638","82.19953773525734","61.47613846291296","42.33430182699342","41","0.3692768040959162","0.00003032702095010771","","","","0.3692768040959162","64.60724316977236","","","","","0.443044557364401","52.99788209957751","[76.0476271859885,59.520067466326175,79.28101743368579,31.787519694391907,29.452119854052444,28.076079541849104,32.88328862303969,42.21297332743222,82.19953773525734,42.33430182699342,82.49696780358718,58.49780995653823,37.845810870494866,84.84757945406808,52.73041104938636,58.979802115777034,36.451010934439616,35.873848003205545,55.44198701545916]",""
