"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","learning_rate","momentum","num_classes","num_epochs","weight_decay","class_0_train","class_0_val","class_10_train","class_10_val","class_11_train","class_11_val","class_12_train","class_12_val","class_13_train","class_13_val","class_14_train","class_14_val","class_15_train","class_15_val","class_16_train","class_16_val","class_17_train","class_17_val","class_18_train","class_18_val","class_1_train","class_1_val","class_2_train","class_2_val","class_3_train","class_3_val","class_4_train","class_4_val","class_5_train","class_5_val","class_6_train","class_6_val","class_7_train","class_7_val","class_8_train","class_8_val","class_9_train","class_9_val","epoch","loss","lr","train_flops","train_fps","train_latency","train_loss","train_mIoU","train_params","val_flops","val_fps","val_latency","val_loss","val_mIoU","val_mIoU_per_class","val_params"
"epoch_50","finished","-","","","2025-05-29T21:07:13.000Z","36951","","4","0.00625","0.9","19","50","0.0001","90.30145755124164","34.18787550837517","86.68946719060254","74.2387706689509","50.85264959480551","30.709737394332297","59.710127424329926","0.003638612960739365","57.44323548110369","27.49678350475036","61.68272390607892","0.9783664798144648","47.63432981564155","3.3542558361127273","63.80094160233231","0","71.56035629872221","3.074234230405541","50.97611783109017","0.0014159518674866053","82.3323490502995","20.981556669061614","75.08517088200641","62.66930654481148","32.445522845336505","9.704342283100882","60.20198621907119","5.0071938495072255","50.00022245414741","18.002650496979893","52.51391172590628","17.01973004271003","56.64956283809606","3.381152455537421","77.59489455333177","75.4813251604359","68.37599830697562","19.62552772190439","50","1.1385724382950122","0.003830600347668747","25.779775698","62.41660564401676","17.027502298355103","1.1385724382950122","62.939527661637854","12581672","25.779775698","59.398689192017656","17.723982095718384","1.4663523960113525","22.55099241175658","[34.18787550837517,20.981556669061614,62.66930654481148,9.704342283100882,5.0071938495072255,18.002650496979893,17.01973004271003,3.381152455537421,75.4813251604359,19.62552772190439,74.2387706689509,30.709737394332297,0.003638612960739365,27.49678350475036,0.9783664798144648,3.3542558361127273,0,3.074234230405541,0.0014159518674866053]","12581672"
"epoch_49","finished","-","","","2025-05-29T20:40:23.000Z","38450","","4","0.00625","0.9","19","50","0.0001","90.88725852806462","40.22989199577826","85.84877679195232","72.10662634412571","50.85752459945332","36.14107862139584","59.91713176976236","0.011729208965969112","61.71673017330653","29.83074124577872","67.9372404428077","1.162943635152226","62.99326145133668","1.327339068248624","89.33753894722297","0.08113412026595587","71.4952597320804","3.517772451425364","52.89676361060282","0.038230700422138345","81.89635233713992","25.836309270667932","74.37762689501876","68.03527956112644","30.60218245709668","14.154865736325377","60.94012037500099","6.8562093397574655","50.34089561648617","19.29157171191375","53.82894315120692","16.669204396575232","57.157445812868914","6.3089637342467695","76.31942416596542","75.11779956679837","68.18716575506414","19.111250301308225","49","1.1318247900955705","0.003949061019225424","","","","1.1318247900955705","65.65987592697041","","","","","1.2359704194068908","22.938365316330444","[40.22989199577826,25.836309270667932,68.03527956112644,14.154865736325377,6.8562093397574655,19.29157171191375,16.669204396575232,6.3089637342467695,75.11779956679837,19.111250301308225,72.10662634412571,36.14107862139584,0.011729208965969112,29.83074124577872,1.162943635152226,1.327339068248624,0.08113412026595587,3.517772451425364,0.038230700422138345]",""
"epoch_48","finished","-","","","2025-05-29T20:13:48.000Z","39951","","4","0.00625","0.9","19","50","0.0001","90.75013544694302","43.64001376005087","85.46729510868893","71.81963537427308","50.99435622971276","33.25140141698631","60.21511564392283","0.5852717039884819","59.34379032207288","30.95534007080849","65.6428652172557","1.7727064520288784","63.25067852506483","2.1527092127596728","89.81495179284376","1.977465458091791","72.06051770134394","4.90560660454982","51.907847928975755","0.10799986707708668","82.12091486612731","26.42197230076481","75.01945069123674","66.40488271016669","31.823511483766975","11.999563646564106","61.002842213119166","6.272559642136595","50.24316538477467","18.92647052314284","52.98801888768511","16.72491393747674","56.268667694255946","6.045826344360723","75.87750203070173","76.32117317994815","68.95920591902258","23.193851631358203","48","1.131986216903369","0.004067128101893513","","","","1.131986216903369","65.46057016250077","","","","","1.191576446533203","23.341019149291224","[43.64001376005087,26.42197230076481,66.40488271016669,11.999563646564106,6.272559642136595,18.92647052314284,16.72491393747674,6.045826344360723,76.32117317994815,23.193851631358203,71.81963537427308,33.25140141698631,0.5852717039884819,30.95534007080849,1.7727064520288784,2.1527092127596728,1.977465458091791,4.90560660454982,0.10799986707708668]",""
"epoch_47","finished","-","","","2025-05-29T19:47:05.000Z","41461","","4","0.00625","0.9","19","50","0.0001","90.69035516444814","35.609767530959296","86.14173296228567","73.44865272829465","50.22824124847517","32.90173251203224","58.064301455872915","0.01706817027206663","60.508370287133864","21.628973153052293","65.16623943493065","2.071102320658627","60.80811357547154","2.482484454312833","89.46982518800048","0.10593458641542308","70.68574145885302","3.2579039446827993","51.23891492190723","0.0261027648614922","82.35842829038657","20.247714318319904","74.68618728603768","62.17734626392893","31.754086075479577","11.389816021747992","60.66546790072432","3.87778614475719","50.043549534433104","15.40672772880725","52.631969625402","15.991095787236176","55.46974713840551","4.571392099686481","74.88556733548953","75.57383678434628","68.38594679817108","21.828474837243835","47","1.1349423379501131","0.004184815520193676","","","","1.1349423379501131","64.94119924641622","","","","","1.4029833526611328","21.190205902716617","[35.609767530959296,20.247714318319904,62.17734626392893,11.389816021747992,3.87778614475719,15.40672772880725,15.991095787236176,4.571392099686481,75.57383678434628,21.828474837243835,73.44865272829465,32.90173251203224,0.01706817027206663,21.628973153052293,2.071102320658627,2.482484454312833,0.10593458641542308,3.2579039446827993,0.0261027648614922]",""
"epoch_46","finished","-","","","2025-05-29T19:20:26.000Z","42967","","4","0.00625","0.9","19","50","0.0001","90.6130000927586","43.44710183871898","86.22426015065905","70.03655691598144","50.53037412491885","35.13422947972301","58.54356968894082","0.20160517271650352","58.230746767519015","27.19047037633206","65.70923300625259","4.836280964270769","54.33502848909115","1.63954643224871","89.50574094681556","1.0083505135140245","70.65059991337044","4.7114899857921975","51.88715019811786","0.0522400136353204","82.03435193049283","31.57656549353366","74.5856823744893","67.83192946297146","32.95704190609049","17.019243545496217","60.08238136089109","8.166681693756189","49.965154759121944","20.36739972984665","52.31664873172005","16.40098945449811","56.88267102199143","6.90449366598114","75.35878763369857","73.44939066998246","68.02941636560641","17.43547119901049","46","1.1360141591048674","0.004302136287342862","","","","1.1360141591048674","64.65483365592347","","","","","1.174436038017273","23.54789666357944","[43.44710183871898,31.57656549353366,67.83192946297146,17.019243545496217,8.166681693756189,20.36739972984665,16.40098945449811,6.90449366598114,73.44939066998246,17.43547119901049,70.03655691598144,35.13422947972301,0.20160517271650352,27.19047037633206,4.836280964270769,1.63954643224871,1.0083505135140245,4.7114899857921975,0.0522400136353204]",""
"epoch_45","finished","-","","","2025-05-29T18:53:45.000Z","44475","","4","0.00625","0.9","19","50","0.0001","90.84497100095976","38.232018050238565","86.16465517191406","71.84849257982745","50.11528402536248","32.70855296872931","57.9747311864091","0.010526038788452933","60.106262760484086","26.145426764063227","67.71283015572604","1.4409552573860682","52.833998457164434","1.5763882358272356","87.51701087219823","0.37578655435429226","69.90499745596102","2.5236691792076353","50.338323606529634","0.011327614939892842","82.05392141002656","20.450207328595912","74.62870067459846","63.04165384829455","30.735847446541403","11.62312903553344","60.07356413363678","4.984909507737431","49.69864138596856","17.227245129794312","51.223639555620984","14.428521781793648","55.56780377237528","5.123786934250265","75.59847946186116","73.96539668232283","67.98874229859562","18.40435410494219","45","1.1383791730650716","0.004419102590647484","","","","1.1383791730650716","64.26749499115441","","","","","1.3246083521842955","21.26959724192772","[38.232018050238565,20.450207328595912,63.04165384829455,11.62312903553344,4.984909507737431,17.227245129794312,14.428521781793648,5.123786934250265,73.96539668232283,18.40435410494219,71.84849257982745,32.70855296872931,0.010526038788452933,26.145426764063227,1.4409552573860682,1.5763882358272356,0.37578655435429226,2.5236691792076353,0.011327614939892842]",""
"epoch_44","finished","-","","","2025-05-29T18:27:07.000Z","45980","","4","0.00625","0.9","19","50","0.0001","90.49702711431104","38.03456507857064","86.83053743231059","71.02680099351792","49.83338792563729","34.626673395539456","58.751251241579475","0","58.7176732255737","22.80220919816397","61.59958813643814","2.4855486259464445","58.9181968786032","1.0486749527037964","88.98266876186158","0.24934344477559084","71.08386626411989","2.508157140837029","48.90742298227578","0.0016006412415065974","81.81030267286701","23.743598127397263","74.68930134140946","66.5367282890109","31.41035425846329","11.780416724091038","60.13829306421973","7.83330152110043","49.73303066996229","19.875847196204653","51.33273832641532","16.753607057802945","55.67657815712322","5.518517205482808","75.9109216792694","75.20726926989516","68.22701431921044","19.51355869059713","44","1.1410581121577017","0.004535725866622783","","","","1.1410581121577017","64.3710607606132","","","","","1.3241101641654969","23.308134308493266","[38.03456507857064,23.743598127397263,66.5367282890109,11.780416724091038,7.83330152110043,19.875847196204653,16.753607057802945,5.518517205482808,75.20726926989516,19.51355869059713,71.02680099351792,34.626673395539456,0,22.80220919816397,2.4855486259464445,1.0486749527037964,0.24934344477559084,2.508157140837029,0.0016006412415065974]",""
"epoch_43","finished","-","","","2025-05-29T18:00:25.000Z","47489","","4","0.00625","0.9","19","50","0.0001","90.69989144818632","35.14460668000232","86.20784389727551","70.6340612830217","49.600704490150584","31.95285268511946","58.13831152789819","0","58.724908108780674","22.365306377703305","65.58567990305859","3.275048679390575","65.04839801263942","1.931273938173922","89.82842470490799","0.04747614995297172","70.37455865623002","1.1465747513205542","49.583694282936555","0","81.70663653543234","21.411732023208085","74.90722957109729","59.61799053463454","30.88668510622668","12.485504118441018","59.86252244642933","3.0771250048149925","49.52290101309923","16.53690007106633","50.28492348730297","13.87312690860024","56.23251782289703","5.442179896344877","75.2468678122032","75.3928099462414","67.59841710446382","18.224565573135887","43","1.1422476681981042","0.004652016867332286","","","","1.1422476681981042","64.73900610164293","","","","","1.3627077102661134","23.091713801245422","[35.14460668000232,21.411732023208085,59.61799053463454,12.485504118441018,3.0771250048149925,16.53690007106633,13.87312690860024,5.442179896344877,75.3928099462414,18.224565573135887,70.6340612830217,31.95285268511946,0,22.365306377703305,3.275048679390575,1.931273938173922,0.04747614995297172,1.1465747513205542,0]",""
"epoch_42","finished","-","","","2025-05-29T17:33:31.000Z","49009","","4","0.00625","0.9","19","50","0.0001","90.22345943241564","30.67826350655468","86.18494900111367","71.05893736338206","49.37525742216496","31.379047311991553","56.85846205410028","0","56.680392104542946","17.42308102682431","69.03073219161956","2.936127449285662","58.253557380372854","3.8706319434450553","89.49513694210692","1.7698868528479246","69.61412236988028","2.820734019213154","48.94328909717682","0","81.83466838899474","18.860170392659203","74.62964845699676","63.888230966080464","33.315581301243036","13.758024055006883","59.65829134710204","4.990060315046269","49.202587633521375","14.153630979011124","51.34400836144725","13.695847366375052","55.85208488208709","6.966343223964862","75.25498163439616","72.9449855621567","67.42909503128263","17.324349396289932","42","1.1445465405951696","0.004767985719188606","","","","1.1445465405951696","64.37791079118763","","","","","1.5493646054267882","22.854020690007935","[30.67826350655468,18.860170392659203,63.888230966080464,13.758024055006883,4.990060315046269,14.153630979011124,13.695847366375052,6.966343223964862,72.9449855621567,17.324349396289932,71.05893736338206,31.379047311991553,0,17.42308102682431,2.936127449285662,3.8706319434450553,1.7698868528479246,2.820734019213154,0]",""
"epoch_41","finished","-","","","2025-05-29T17:06:45.000Z","50522","","4","0.00625","0.9","19","50","0.0001","90.46994779248011","39.111317357359866","86.8606251866221","71.46732501206488","49.21087470006291","34.45853670486071","57.74504824784154","0.6569575233009801","57.85775310428944","19.5494083264134","65.94673139994607","5.041900173955558","50.80799967068976","3.189653824045797","89.03874045788083","1.731182638452201","69.45809272571789","4.607759763714004","47.42660033469562","0.05419028531615301","81.21134333845733","22.888017190221458","74.67547085622401","65.7352750350168","31.118625007294696","12.61101138547497","59.4314417601269","8.878035177794716","49.09785511547774","18.446283676291017","50.05755974424056","15.17819105959778","54.87253198559533","4.9575198146692765","75.65804734627176","75.08841942657106","67.72769001029121","19.224571557283095","41","1.1479103417635728","0.004883641975252583","","","","1.1479103417635728","63.614367304431894","","","","","1.2663591904640197","22.256608206968615","[39.111317357359866,22.888017190221458,65.7352750350168,12.61101138547497,8.878035177794716,18.446283676291017,15.17819105959778,4.9575198146692765,75.08841942657106,19.224571557283095,71.46732501206488,34.45853670486071,0.6569575233009801,19.5494083264134,5.041900173955558,3.189653824045797,1.731182638452201,4.607759763714004,0.05419028531615301]",""
"epoch_40","finished","-","","","2025-05-29T16:39:47.000Z","52047","","4","0.00625","0.9","19","50","0.0001","90.66713295419196","32.68775459073658","86.72305788916897","72.70964063589702","49.2052962213978","34.526697593956","54.77894071959507","0.404992496790796","59.0038542620775","17.163097652624486","68.90698143291223","5.823453996519686","51.477671279521495","4.604340267005382","89.4109105297208","0","67.35560221814546","3.331399648394081","48.5271862501351","0.004309418727133147","79.75831248356904","24.57682494828508","74.09775219188028","65.83942443270558","30.96124530516395","11.66538337438762","59.026815997636085","4.348540199032937","48.91729954091102","15.134515723225478","49.52287087093722","15.55116881209027","55.32881804042913","4.210743865905109","75.33484551869448","74.60571785547644","66.3064602040549","18.239529093670512","40","1.1528665710284336","0.004998994661901614","","","","1.1528665710284336","63.437423890007494","","","","","1.5100271787643431","22.5237519225239","[32.68775459073658,24.57682494828508,65.83942443270558,11.66538337438762,4.348540199032937,15.134515723225478,15.55116881209027,4.210743865905109,74.60571785547644,18.239529093670512,72.70964063589702,34.526697593956,0.404992496790796,17.163097652624486,5.823453996519686,4.604340267005382,0,3.331399648394081,0.004309418727133147]",""
"epoch_39","finished","-","","","2025-05-29T16:12:53.000Z","53567","","4","0.00625","0.9","19","50","0.0001","90.49789395437278","30.87389684207101","86.7064395381333","69.35769094988251","48.30866793193873","31.5258644899731","56.89798143661322","0","59.047335657319344","16.033331150204123","69.89626497193375","8.591405428391479","51.75748349961895","3.4336930519614577","89.68792002180112","0.7517869957921424","68.9358333000931","2.00924849238757","49.39663323671196","0","80.19114104740824","28.836044856877535","74.0246127827603","65.64243415564245","30.328737759102857","12.46060387930196","58.47018395106816","10.579337249667397","48.82835099383074","19.20558804338133","47.84865127450848","14.150402974481285","53.12570026754999","3.990113910584084","75.47266251850554","74.74935952874009","67.30630311249524","16.45353632402698","39","1.1560800229472563","0.005114052320602067","","","","1.1560800229472563","63.51204196082977","","","","","1.4851338143348694","24.037902254315675","[30.87389684207101,28.836044856877535,65.64243415564245,12.46060387930196,10.579337249667397,19.20558804338133,14.150402974481285,3.990113910584084,74.74935952874009,16.45353632402698,69.35769094988251,31.5258644899731,0,16.033331150204123,8.591405428391479,3.4336930519614577,0.7517869957921424,2.00924849238757,0]",""
"epoch_38","finished","-","","","2025-05-29T15:45:54.000Z","55092","","4","0.00625","0.9","19","50","0.0001","90.47806828145976","36.427286395024865","86.31348039036129","73.97259826695836","48.107088939570694","34.489823432336806","54.54046025383465","1.3380978139120645","59.948297994933434","19.451860482169575","70.8129096902613","2.9298319959157877","48.54740372832621","2.867894908783921","88.62554921835762","0.04228383988519296","67.26821772381795","3.468076082346415","49.13112225221749","0.0384614437872153","81.22367744585011","22.0063453782991","74.01980181939632","67.50329945448861","31.301120637964015","10.226102523544784","58.26260607285373","4.569551629921093","48.65193641421997","16.40818585057172","48.10358841673627","15.127775917866307","54.00415767474309","6.86913781933921","74.90945497494769","75.36955284302368","66.18722431628026","18.55225060624772","38","1.1551144429688265","0.0052288230454087745","","","","1.1551144429688265","63.180850855059575","","","","","1.346303279876709","21.66623245707487","[36.427286395024865,22.0063453782991,67.50329945448861,10.226102523544784,4.569551629921093,16.40818585057172,15.127775917866307,6.86913781933921,75.36955284302368,18.55225060624772,73.97259826695836,34.489823432336806,1.3380978139120645,19.451860482169575,2.9298319959157877,2.867894908783921,0.04228383988519296,3.468076082346415,0.0384614437872153]",""
"epoch_37","finished","-","","","2025-05-29T15:19:06.000Z","56606","","4","0.00625","0.9","19","50","0.0001","90.32103341851531","38.502626185642555","87.01852773424973","68.37517958149455","48.377249495256144","32.956062249834126","55.4472607195812","0.1873135443032864","59.86849481350934","33.406247355751596","63.138659167080725","2.047327607478849","43.816684520884415","2.6136571999071085","88.88128631639431","0.0007149521518272386","68.11961798337576","2.90038568958638","46.72569315203014","0.04423923891280994","81.39706495204712","19.86186592355886","74.23630519527201","52.018110539338046","30.805354645989635","10.920972018800915","58.27759897519347","3.2004635495683074","48.39704687416838","18.789345968943444","48.21868055814943","14.1979335451695","53.25627650659618","6.607208545400138","75.86777087409249","72.50332042099751","66.6438823471209","13.782627865424177","37","1.1585627712842113","0.005343314516722151","","","","1.1585627712842113","62.5691835920793","","","","","1.3676450834274292","20.67976852538232","[38.502626185642555,19.86186592355886,52.018110539338046,10.920972018800915,3.2004635495683074,18.789345968943444,14.1979335451695,6.607208545400138,72.50332042099751,13.782627865424177,68.37517958149455,32.956062249834126,0.1873135443032864,33.406247355751596,2.047327607478849,2.6136571999071085,0.0007149521518272386,2.90038568958638,0.04423923891280994]",""
